É_ÉEÉìÉçÅ[ÉhÇµÇΩéûçèÅF2021/05/19 13:59:35,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,ìﬂîe,ìﬂîe,ìﬂîe,ìﬂîe,ìﬂîe,ìﬂîe,ìﬂîe,ìﬂîe,ìﬂîe,ìﬂîe,ìﬂîe,ìﬂîe,ìﬂîe,ìﬂîe,ìﬂîe,ìﬂîe,ìﬂîe
15-Dec,2015,12,47,20.1,22.5,17.9,26.9,14,73,0,8,0,13.5,0,102.4,0,31,0,68,1015
16-Jan,2016,1,47,17.4,19.9,14.9,26.6,6.1,272.5,0,23,0,49,0,75.8,0,23,0,71,1014.9
16-Feb,2016,2,47,16.9,19.4,14.4,25.9,9.8,157.5,0,27.5,0,43.5,0,83.1,0,26,0,65,1016.3
16-Mar,2016,3,47,18.7,21.4,16.4,24.8,11.4,168.5,0,28.5,0,45,0,106.6,0,29,0,70,1012.7
16-Apr,2016,4,47,23,25.7,20.9,28.7,16,350.5,0,43,0,104,0,125.5,0,33,0,82,1007.8
16-May,2016,5,47,25.7,28.5,23.6,31.1,19.2,129.5,0,26.5,0,36.5,0,143.2,0,35,0,82,1006.3
16-Jun,2016,6,47,28.4,31,26.4,33.1,23.3,319.5,0,35.5,0,47.5,0,185.7,0,45,0,82,1004.2
16-Jul,2016,7,47,29.8,32.6,27.6,33.6,25.4,193,0,23.5,0,34.5,0,253,0,60,0,76,1003.8
16-Aug,2016,8,47,29.5,32.3,27.3,33.9,24.7,209,0,25,0,51,0,226.4,0,56,0,74,998.5
16-Sep,2016,9,47,28.4,31.1,26.4,32.8,24.9,342,0,29.5,0,137.5,0,141.8,0,38,0,78,1003.3
16-Oct,2016,10,47,27.7,30.1,25.9,31.7,23.5,75.5,0,15,0,32.5,0,175.6,0,49,0,79,1007.2
16-Nov,2016,11,47,23.2,26.1,20.7,29.9,17.9,103,0,36.5,0,53,0,128.4,0,39,0,66,1012.1
16-Dec,2016,12,47,20.5,23.1,18.5,28.2,14.9,47.5,0,7,0,13,0,112.1,0,34,0,63,1014.5
17-Jan,2017,1,47,18.4,21,16.4,25,12.3,92.5,0,11,0,24,0,77,0,23,0,64,1015
17-Feb,2017,2,47,17.1,19.7,14.7,24.3,10.7,84,0,13,0,22.5,0,79.9,0,25,0,63,1015.3
17-Mar,2017,3,47,18.3,20.9,15.9,25,11.8,96.5,0,10,0,28,0,102.4,0,28,0,67,1011.6
17-Apr,2017,4,47,21.6,24.5,19.4,27.1,14.8,67,0,13.5,0,32,0,128.6,0,34,0,71,1008.7
17-May,2017,5,47,24.2,26.9,22.1,29.7,18.7,315.5,0,43,0,124,0,112.1,0,27,0,78,1006.3
17-Jun,2017,6,47,26.6,29,24.7,33.2,19.9,444.5,0,49.5,0,206.5,0,107.7,0,26,0,85,1003.2
17-Jul,2017,7,47,29.9,33.3,27.6,35.1,24.9,44,0,18,0,18,0,267.2,0,64,0,74,1005.1
17-Aug,2017,8,47,30.4,33.6,28.3,34.9,26.4,56.5,0,14.5,0,17,0,242.1,0,60,0,74,1002.4
17-Sep,2017,9,47,28.9,31.7,26.6,33.9,23,239.5,0,60,0,70.5,0,186.1,0,50,0,75,1004.2
17-Oct,2017,10,47,27,29.7,25,33,20,270,0,34.5,0,143.5,0,155.8,0,44,0,73,1006
17-Nov,2017,11,47,22.8,25.3,20.8,27.9,15.9,146.5,0,24.5,0,45,0,85.6,0,26,0,71,1011.9
17-Dec,2017,12,47,18,20.4,15.9,25.5,13.1,50.5,0,8.5,0,14,0,101.5,0,31,0,61,1015
18-Jan,2018,1,47,17.2,19.6,15,24.1,9.3,150.5,0,19.5,0,36,0,74.9,0,23,0,67,1013.4
18-Feb,2018,2,47,16.9,19.6,14.4,24.7,9.6,84,0,21,0,33,0,97.9,0,31,0,66,1013.8
18-Mar,2018,3,47,19.9,22.8,17.3,27.4,12.8,100.5,0,20.5,0,54,0,181.6,0,49,0,67,1011.5
18-Apr,2018,4,47,21.6,24.9,19.1,28.4,13.2,126,0,30.5,0,50,0,161.3,0,42,0,72,1010.1
18-May,2018,5,47,25.6,28.9,23.4,31.6,16.7,33,0,14,0,15,0,238.4,0,58,0,78,1006.3
18-Jun,2018,6,47,27.8,30.5,25.8,32.9,23.2,218.5,0,27,0,84.5,0,171.7,0,42,0,82,1001.4
18-Jul,2018,7,47,28.3,30.8,26.5,33.1,24.5,429,0,35.5,0,149,0,179.7,0,43,0,82,999.9
18-Aug,2018,8,47,28.5,31.2,26.4,32.4,24.2,310,0,33,0,98.5,0,203.4,0,50,0,82,999.1
18-Sep,2018,9,47,28.4,31.1,26.4,32.5,24.8,334.5,0,36,0,184,0,174.6,0,47,0,79,1002.6
18-Oct,2018,10,47,23.9,26.4,21.9,28.3,18.8,375,0,41.5,0,129.5,0,151.8,0,43,0,72,1008.7
18-Nov,2018,11,47,23.1,25.7,21.1,27.6,18.9,160.5,0,40,0,60.5,0,155.9,0,48,0,71,1012.4
18-Dec,2018,12,47,20.4,22.8,18.4,29.4,13.2,148,0,20,0,57.5,0,85.3,0,26,0,73,1014.6
19-Jan,2019,1,47,18.1,20.7,15.8,24.9,12,55,0,13,0,24,0,97.4,0,29,0,67,1016.2
19-Feb,2019,2,47,20,22.7,17.7,26.3,12.2,156.5,0,28,0,38.5,0,78.4,0,25,0,79,1013.5
19-Mar,2019,3,47,19.9,22.4,17.5,27,14.6,183.5,0,38,0,47,0,129.8,0,35,0,70,1010.7
19-Apr,2019,4,47,22.3,24.9,20.2,29.1,14.5,128,0,12.5,0,27.5,0,119.2,0,31,0,78,1008.2
19-May,2019,5,47,24.2,27,21.9,30.3,17.8,208.5,0,37.5,0,76,0,150.7,0,36,0,74,1005.2
19-Jun,2019,6,47,26.5,29,24.4,32.6,19.7,595.5,0,54.5,0,138,0,90.7,0,22,0,89,1001.7
19-Jul,2019,7,47,28.9,31.5,26.8,33.9,24.1,284,0,31.5,0,92,0,196.2,0,47,0,84,1002.1
19-Aug,2019,8,47,29.2,31.8,27.3,33.3,24.9,208,0,19.5,0,45.5,0,191.3,0,47,0,83,999.5
19-Sep,2019,9,47,28,30.7,26.1,33.4,23.2,477.5,0,34.5,0,156,0,154.2,0,42,0,82,1002.8
19-Oct,2019,10,47,26,28.6,24.2,31.8,21.1,104.5,0,22.5,0,48,0,198.8,0,56,0,75,1008.1
19-Nov,2019,11,47,23.1,25.6,21,28.7,17.9,136,0,46.5,0,84.5,0,135.7,0,42,0,70,1011.2
19-Dec,2019,12,47,20,22.6,17.8,27.5,14.9,100.5,0,8.5,0,27,0,123.2,0,38,0,73,1014.4
20-Jan,2020,1,47,18.7,21.4,16.3,27,12.5,24,0,12,0,13.5,0,140.2,0,42,0,68,1013.5
20-Feb,2020,2,47,18.7,21.9,16.1,26.7,11.8,9.5,0,2,0,6.5,0,133.6,0,41,0,68,1016.5
20-Mar,2020,3,47,20.1,22.9,17.5,26.2,13.2,202.5,0,25.5,0,33,0,123.1,0,33,0,75,1010.7
20-Apr,2020,4,47,19.8,22.5,17.5,27.3,15.4,68,0,8.5,0,19.5,0,118.2,0,31,0,71,1011.4
20-May,2020,5,47,24.8,27.6,22.6,30.7,18.2,545,0,77,0,184.5,0,106,0,26,0,85,1004.8
20-Jun,2020,6,47,28.1,30.8,26.1,32.3,22.4,334.5,0,39,0,66,0,195.9,0,48,0,88,1004.1
20-Jul,2020,7,47,29.3,32.1,26.9,34.1,24.1,281,0,64,0,82.5,0,214.9,0,51,0,83,1004.6
20-Aug,2020,8,47,29.4,32.2,27.3,34.7,24.4,370,0,22,0,103.5,0,184.8,0,46,0,81,1003.6
20-Sep,2020,9,47,27.7,30.3,25.7,33.1,22.5,176.5,0,21,0,84.5,0,152.5,0,41,0,82,1002.8
20-Oct,2020,10,47,25.8,28.6,23.8,31.1,19.5,203,0,42,0,190.5,0,203.1,0,57,0,71,1008.1
20-Nov,2020,11,47,23.4,25.8,21.7,29.8,18.6,34,0,9.5,0,12.5,0,119,0,37,0,73,1013.1
20-Dec,2020,12,47,19.2,21.3,17.2,25.9,10.6,233,0,16,0,77,0,45.9,0,14,0,78,1013.3
21-Jan,2021,1,47,16.8,19.4,14.4,23.3,9.7,118.5,0,14,0,38,0,98.7,0,30,0,71,1014
21-Feb,2021,2,47,18.5,21.7,16,25,11.1,194.5,0,25.5,0,104,0,150.7,0,48,0,72,1012.2
21-Mar,2021,3,47,20.8,23.7,18.6,26.6,13.8,69.5,0,12.5,0,14.5,0,146.9,0,40,0,76,1011
21-Apr,2021,4,47,21.7,24.4,19.3,27.4,15.8,92,0,15.5,0,33.5,0,145.1,0,38,0,73,1009
21-May,2021,5,47,,,,,,,0,,0,,0,,0,,0,,
