É_ÉEÉìÉçÅ[ÉhÇµÇΩéûçèÅF2021/05/19 13:58:34,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,ã{çË,ã{çË,ã{çË,ã{çË,ã{çË,ã{çË,ã{çË,ã{çË,ã{çË,ã{çË,ã{çË,ã{çË,ã{çË,ã{çË,ã{çË,ã{çË,ã{çË
16-Jan,2016,1,45,8.1,13,3.9,20.5,-3.5,111.5,0,20,0,40.5,0,152.7,0,48,0,72,1019.2
16-Feb,2016,2,45,9.1,14.5,4.4,22.4,-0.4,102,0,11,0,51.5,0,197.6,0,62,0,64,1020.3
16-Mar,2016,3,45,12.2,17.2,7.3,23.5,-0.5,156,0,10.5,0,47.5,0,196.9,0,53,0,71,1017.8
16-Apr,2016,4,45,17.6,21.2,13.9,26.3,7.5,240,0,23,0,52,0,119.9,0,31,0,80,1011.8
16-May,2016,5,45,21.2,25.3,17.4,28.8,13.1,256.5,0,18,0,53.5,0,185.2,0,44,0,79,1011.1
16-Jun,2016,6,45,23.8,27.1,20.9,33.3,15.1,607,0,60.5,0,114.5,0,95.1,0,22,0,85,1007.1
16-Jul,2016,7,45,27.5,31.3,24.3,34.6,21.7,388.5,0,58.5,0,185.5,0,220.8,0,51,0,81,1008.3
16-Aug,2016,8,45,28.4,32.7,24.8,34.6,20.4,55.5,0,11,0,25,0,268.6,0,65,0,76,1003.1
16-Sep,2016,9,45,26,29.7,23.1,34.1,20.4,670.5,0,77.5,0,222,0,135.2,0,37,0,84,1009.4
16-Oct,2016,10,45,22.1,25.6,19,32.1,12.8,245,0,22,0,69,0,106.1,0,30,0,83,1014.5
16-Nov,2016,11,45,15.4,20.2,11.1,26.3,4.6,67.5,0,7.5,0,18.5,0,174.3,0,55,0,79,1017.7
16-Dec,2016,12,45,11.3,16.8,6.5,21.3,-0.5,51.5,0,6.5,0,26,0,199,0,64,0,73,1019.9
17-Jan,2017,1,45,8.1,13.7,3.3,19.7,-3.3,72,0,14.5,0,55.5,0,217.7,0,68,0,67,1019.5
17-Feb,2017,2,45,8.7,14.5,3.1,22.8,-2.3,48,0,10,0,15.5,0,206.3,0,67,0,62,1018.4
17-Mar,2017,3,45,10.6,15.4,6.2,24.3,1.7,186.5,0,8,0,52,0,193.5,0,52,0,71,1015.7
17-Apr,2017,4,45,17.3,22.4,12.6,29.4,5.2,260,0,14.5,0,133,0,189.1,0,49,0,73,1011.8
17-May,2017,5,45,20.5,25.4,16.3,30.9,13.6,222,0,32,0,109,0,224.4,0,53,0,73,1011.3
17-Jun,2017,6,45,22.6,26.5,19.1,30.2,15.8,363,0,25.5,0,120,0,146.4,0,34,0,80,1007.2
17-Jul,2017,7,45,28.5,32.6,25.4,36.2,21.6,124,0,30,0,31,0,220.4,0,51,0,81,1008.1
17-Aug,2017,8,45,29,33,25.8,36.7,23.9,189.5,0,25,0,70,0,227.6,0,55,0,79,1004.9
17-Sep,2017,9,45,24.2,28,20.7,34.7,15.2,575,0,42.5,0,247,0,128,0,35,0,81,1009.1
17-Oct,2017,10,45,20.4,24.1,17,30.7,9,556.5,0,71.5,0,268,0,119.8,0,34,0,81,1014.2
17-Nov,2017,11,45,14,18.9,9.4,24,1.3,117.5,0,8.5,0,34,0,142.2,0,45,0,78,1018.6
17-Dec,2017,12,45,7.6,13.1,2.8,16.5,-1.5,7.5,0,4,0,6,0,208.6,0,67,0,64,1020.4
18-Jan,2018,1,45,6.9,12.1,2.4,21,-3.1,63.5,0,6,0,19,0,204,0,64,0,67,1018.3
18-Feb,2018,2,45,7.3,12.1,3.1,17,-2.8,94.5,0,7.5,0,28.5,0,179.7,0,58,0,69,1018.8
18-Mar,2018,3,45,13.4,18.6,8.2,24.4,1.7,179.5,0,25,0,73.5,0,205.6,0,56,0,73,1016.1
18-Apr,2018,4,45,17.6,22.5,12.5,26.6,3.1,59.5,0,10,0,24,0,235.9,0,61,0,72,1014.2
18-May,2018,5,45,20.5,24.8,16.7,31.9,10.7,408.5,0,28,0,96.5,0,168.9,0,40,0,78,1010.4
18-Jun,2018,6,45,23.6,27.1,20.6,33.4,14.8,479.5,0,31.5,0,123,0,136.9,0,32,0,85,1006.7
18-Jul,2018,7,45,27.5,30.8,24.8,34.8,23,579.5,0,37,0,115.5,0,203.5,0,47,0,85,1006.9
18-Aug,2018,8,45,28,31.6,25.1,34.9,21.7,342.5,0,63,0,97.5,0,215.2,0,52,0,83,1006.4
18-Sep,2018,9,45,24.8,28.6,22,32.9,16.8,568,0,77,0,215.5,0,106.2,0,29,0,84,1009.3
18-Oct,2018,10,45,19.3,24.4,15,30,9.5,208.5,0,25,0,161,0,215.2,0,61,0,74,1014.7
18-Nov,2018,11,45,14.3,19.4,9.6,24.6,4,78,0,4.5,0,19,0,188.3,0,60,0,80,1019.1
18-Dec,2018,12,45,10.9,15.1,7.1,23.8,-0.6,106,0,9,0,32.5,0,132.5,0,42,0,74,1020.7
19-Jan,2019,1,45,9.1,14.8,4.2,17.4,0.2,32,0,5,0,19,0,204.6,0,64,0,65,1020
19-Feb,2019,2,45,10.5,15,6.7,21.6,0,155.5,0,8,0,34,0,119.3,0,39,0,77,1018.4
19-Mar,2019,3,45,12.9,18.1,8.2,24.8,3,212.5,0,13.5,0,67,0,203.2,0,55,0,67,1013.9
19-Apr,2019,4,45,16.6,20.9,12,26.7,3.4,161.5,0,14.5,0,44.5,0,206.7,0,53,0,73,1012.3
19-May,2019,5,45,20.6,25.3,16.1,31.3,8.8,314.5,0,61,0,157.5,0,208.4,0,49,0,72,1010.8
19-Jun,2019,6,45,23.3,26.9,20,31.9,16.7,355,0,33.5,0,65,0,141.7,0,33,0,82,1005.3
19-Jul,2019,7,45,26.2,29.7,23.7,35.4,20.1,796,0,40.5,0,271,0,138.5,0,32,0,86,1006.1
19-Aug,2019,8,45,27.5,30.9,24.7,34.9,21.7,349,0,34.5,0,98.5,0,149.5,0,36,0,84,1005.5
19-Sep,2019,9,45,26,29.5,23.1,33.1,18.6,328.5,0,75.5,0,123.5,0,151,0,41,0,84,1011.2
19-Oct,2019,10,45,21.7,26.3,18,32.4,12.9,210.5,0,21.5,0,54.5,0,179,0,51,0,79,1013.2
19-Nov,2019,11,45,15.4,20.6,10.7,24.5,4.2,58.5,0,15.5,0,29.5,0,193.4,0,61,0,76,1017.9
19-Dec,2019,12,45,11.1,15.8,6.7,22.1,1.3,72,0,8.5,0,31.5,0,149.7,0,48,0,77,1020.3
20-Jan,2020,1,45,9.9,15.1,5.4,22.4,0.4,134.5,0,11.5,0,64,0,168.7,0,53,0,74,1017.6
20-Feb,2020,2,45,10.4,15.6,5.6,23.4,0.9,87,0,11,0,22.5,0,181.9,0,57,0,72,1020.6
20-Mar,2020,3,45,13.4,17.9,9,25.4,2.5,122,0,7,0,23,0,180.2,0,49,0,73,1014.2
20-Apr,2020,4,45,15.3,20.4,10.3,24.4,6.2,64,0,7.5,0,21.5,0,244.8,0,63,0,63,1014
20-May,2020,5,45,20.8,24.8,17.2,28.5,11.8,245.5,0,31,0,105,0,171,0,40,0,78,1009.4
20-Jun,2020,6,45,24.4,28.3,21.1,33.6,17.8,361.5,0,34,0,126.5,0,133.8,0,32,0,84,1006.1
20-Jul,2020,7,45,26.1,29.9,23.1,36.6,18.9,647,0,52.5,0,177.5,0,139.8,0,32,0,84,1007.1
20-Aug,2020,8,45,29.3,33.7,25.7,37.2,24,83,0,14,0,21.5,0,289.8,0,70,0,78,1009.5
20-Sep,2020,9,45,24.8,28.5,21.7,33.1,14.8,383,0,55.5,0,100,0,118.1,0,32,0,82,1008.3
20-Oct,2020,10,45,19.9,24.5,15.5,30.3,7.6,72,0,7,0,28.5,0,199.4,0,57,0,76,1014.4
20-Nov,2020,11,45,16,21.3,11.4,27.1,6.2,64.5,0,8,0,22,0,184.7,0,59,0,77,1020.1
20-Dec,2020,12,45,9,14.8,3.7,19.3,-1.7,15.5,0,3,0,10.5,0,195.8,0,63,0,67,1020.2
21-Jan,2021,1,45,8.1,13.7,3.2,23.4,-3.8,41.5,0,5,0,19.5,0,200.5,0,63,0,68,1019.5
21-Feb,2021,2,45,11.3,16.5,6.2,23.2,-1.3,156.5,0,10.5,0,50.5,0,180.9,0,59,0,66,1017.4
21-Mar,2021,3,45,14.7,19.4,10.3,24.7,2.2,145.5,0,19,0,44,0,171.1,0,46,0,76,1016
21-Apr,2021,4,45,16.5,21.2,11.5,26.4,7.2,172,0,11,0,50,0,190,0,49,0,72,1015.7
21-May,2021,5,45,,,,,,,0,,0,,0,,0,,0,,
