É_ÉEÉìÉçÅ[ÉhÇµÇΩéûçèÅF2021/05/19 13:53:41,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,çLìá,çLìá,çLìá,çLìá,çLìá,çLìá,çLìá,çLìá,çLìá,çLìá,çLìá,çLìá,çLìá,çLìá,çLìá,çLìá,çLìá
15-Dec,2015,12,34,9.3,13.4,5.8,17.8,1,107,0,9.5,0,45.5,0,147.4,0,48,0,65,1016.1
16-Jan,2016,1,34,5.6,10,2.3,16.3,-3.9,66.5,0,4.5,0,26.5,0,126.8,0,41,0,66,1014.6
16-Feb,2016,2,34,6.5,11,2.7,16.3,-0.9,95,0,10,0,55,0,134.1,0,42,0,60,1016
16-Mar,2016,3,34,10.4,15.6,6.2,22.5,-0.3,67,0,5.5,0,34.5,0,197.8,0,54,0,58,1014.1
16-Apr,2016,4,34,16.2,21.3,11.8,26.4,5.7,274,0,14.5,0,56.5,0,182.5,0,47,0,62,1007.6
16-May,2016,5,34,20.3,25,15.8,30.8,9.7,184,0,15,0,42,0,216,0,50,0,61,1006.6
16-Jun,2016,6,34,23.3,27,20.3,31.3,14.4,509.5,0,34,0,64,0,125.4,0,29,0,72,1002.7
16-Jul,2016,7,34,27.7,31.4,24.9,34.2,21.6,199.5,0,20,0,72.5,0,192.5,0,44,0,69,1003.6
16-Aug,2016,8,34,29.3,34.3,25.5,37.2,21.3,90,0,25,0,37,0,257.7,0,62,0,60,998.8
16-Sep,2016,9,34,25.1,28.7,22.3,33.1,19.6,307.5,0,62.5,0,79.5,0,83.3,0,22,0,72,1006
16-Oct,2016,10,34,20.2,24,17.1,30.9,11.6,156,0,23,0,40,0,110.5,0,32,0,66,1011.4
16-Nov,2016,11,34,13.1,17.6,9.4,22.2,4.6,82.5,0,12,0,33.5,0,144.4,0,46,0,67,1014.3
16-Dec,2016,12,34,8.9,13,5.6,19.9,0.4,92.5,0,6.5,0,22,0,125.8,0,41,0,69,1015.6
17-Jan,2017,1,34,5.5,10,2.1,14.8,-1.7,52,0,4.5,0,13.5,0,161.1,0,52,0,65,1015.1
17-Feb,2017,2,34,6.1,11.3,2.3,15,-1.2,66,0,6.5,0,17,0,158.6,0,52,0,62,1013.7
17-Mar,2017,3,34,8.8,14,4.6,19.5,1.5,55.5,0,6,0,22.5,0,178.3,0,48,0,54,1011.5
17-Apr,2017,4,34,15.6,20.4,11.1,27,3.6,192,0,14,0,93.5,0,194.4,0,50,0,58,1007.2
17-May,2017,5,34,20.6,25.3,16,29.8,12.1,50.5,0,4.5,0,15,0,256.6,0,60,0,56,1006.6
17-Jun,2017,6,34,22.5,26.9,18.3,30.5,13.8,261,0,53.5,0,108,0,203.3,0,47,0,61,1002.8
17-Jul,2017,7,34,28.4,31.8,25.7,34.5,23.2,174.5,0,27,0,54.5,0,157.9,0,36,0,71,1003.2
17-Aug,2017,8,34,29,33.3,25.7,37,22.1,98.5,0,14.5,0,37,0,217.3,0,52,0,64,1001
17-Sep,2017,9,34,23.4,27.5,19.8,32.2,14.9,250,0,29.5,0,88,0,149.2,0,40,0,66,1005.6
17-Oct,2017,10,34,18.4,22,15.5,28.1,7.4,387.5,0,28.5,0,84.5,0,122.8,0,35,0,70,1011.9
17-Nov,2017,11,34,11.9,16.3,8.1,21.9,3.9,20.5,0,3,0,8.5,0,160.5,0,52,0,65,1014.5
17-Dec,2017,12,34,5.8,9.9,2.4,15,-0.9,11.5,0,2.5,0,5.5,0,137.6,0,45,0,61,1015.9
18-Jan,2018,1,34,4.3,8.5,1.2,13.6,-3.5,55,0,5,0,21.5,0,136.1,0,44,0,64,1013.9
18-Feb,2018,2,34,4.7,9.5,1,15.9,-4.3,35,0,7.5,0,27,0,161.2,0,53,0,57,1014.5
18-Mar,2018,3,34,10.9,16.1,5.9,22.3,1.3,201,0,16,0,69,0,217.5,0,59,0,58,1012.5
18-Apr,2018,4,34,16.2,21.2,11.6,27,3.9,126,0,19.5,0,84,0,216.4,0,56,0,55,1009.6
18-May,2018,5,34,19.8,24,15.7,28.8,9.7,209,0,20,0,43,0,197.2,0,46,0,60,1006.1
18-Jun,2018,6,34,23.1,27,19.8,31.3,15.9,185,0,17.5,0,38.5,0,158.1,0,37,0,67,1002.6
18-Jul,2018,7,34,29.1,33,25.8,36.7,21.5,492,0,49.5,0,229,0,257.6,0,59,0,65,1002.8
18-Aug,2018,8,34,29.8,34.7,26.2,37.3,19.7,47,0,11,0,19,0,273.2,0,66,0,59,1002.3
18-Sep,2018,9,34,23.7,27.2,20.9,32.6,15.5,365,0,29.5,0,75,0,108.3,0,29,0,70,1005.9
18-Oct,2018,10,34,18.5,23.1,14.8,30.6,9.4,35,0,11.5,0,15.5,0,179.4,0,51,0,61,1010.6
18-Nov,2018,11,34,13.3,18.3,9.2,23.4,2.8,38,0,18.5,0,34,0,170.6,0,55,0,61,1015.3
18-Dec,2018,12,34,8.5,12.1,5.7,20.9,0.2,90.5,0,6,0,27.5,0,105.9,0,35,0,68,1016.7
19-Jan,2019,1,34,6.4,11.2,2.6,15.4,0.3,26.5,0,3.5,0,15.5,0,164.2,0,53,0,60,1015.6
19-Feb,2019,2,34,7.6,11.8,4,17.1,-0.8,68.5,0,6,0,29.5,0,129.5,0,43,0,58,1014.9
19-Mar,2019,3,34,10.6,15.5,6.3,21.8,1.5,102,0,5.5,0,33.5,0,187.5,0,51,0,58,1009.7
19-Apr,2019,4,34,14.8,19.7,10.4,27.8,3.4,110,0,6,0,38.5,0,210.1,0,54,0,55,1008.1
19-May,2019,5,34,20.5,25.6,15.4,30.7,8.3,63.5,0,15.5,0,33.5,0,268.2,0,62,0,49,1006.5
19-Jun,2019,6,34,23.2,27.6,19.5,32.1,15.1,152.5,0,22.5,0,80,0,199.5,0,46,0,63,1001
19-Jul,2019,7,34,26.4,29.8,23.7,34.6,20.6,259.5,0,14,0,57.5,0,131.4,0,30,0,72,1001.8
19-Aug,2019,8,34,28.5,32.1,25.6,37.5,20.6,317.5,0,42,0,85.5,0,172.2,0,41,0,68,1001.4
19-Sep,2019,9,34,26.3,30.7,22.9,34.3,16.3,89,0,25.5,0,47.5,0,191.2,0,51,0,63,1007.8
19-Oct,2019,10,34,20.3,25,16.5,31.4,11.5,105.5,0,11.5,0,68.5,0,175.2,0,50,0,63,1010
19-Nov,2019,11,34,13.5,18.6,9.1,23.5,3.7,5,0,3,0,5,0,188.5,0,61,0,60,1014.4
19-Dec,2019,12,34,8.6,12.9,5.3,16.8,2.2,82,0,7.5,0,17,0,116.3,0,38,0,65,1016.5
20-Jan,2020,1,34,8.1,12.2,4.9,16,1.2,87,0,16,0,23.5,0,138.6,0,44,0,61,1013.6
20-Feb,2020,2,34,7.8,12.7,3.9,18.8,0.1,60.5,0,5,0,24,0,156.8,0,50,0,58,1016.4
20-Mar,2020,3,34,11,16.1,6.6,20.7,1.5,169.5,0,9.5,0,68.5,0,188.8,0,51,0,58,1010.1
20-Apr,2020,4,34,13.2,18.3,8.4,24.3,4,154,0,19,0,37,0,231.8,0,59,0,50,1009.4
20-May,2020,5,34,20.3,24.9,16.2,29.3,12.1,130.5,0,12,0,38.5,0,209.6,0,49,0,59,1005
20-Jun,2020,6,34,24.2,28.1,20.8,32.3,18.1,355,0,21,0,112.5,0,177.1,0,41,0,67,1001.2
20-Jul,2020,7,34,25.2,28.3,23,33,18.4,768.5,0,38,0,187.5,0,84.2,0,19,0,75,1002.2
20-Aug,2020,8,34,29.9,34.5,26.4,37.1,24,2,0,1,0,1,0,261.9,0,63,0,62,1005
20-Sep,2020,9,34,25,29.6,21.7,36.5,16.2,145.5,0,26.5,0,33.5,0,158.8,0,43,0,62,1004.7
20-Oct,2020,10,34,18.7,23.7,14.9,28.4,8.3,90.5,0,8,0,64,0,211.3,0,60,0,58,1011.4
20-Nov,2020,11,34,14.2,19.1,9.9,25.6,5.5,25,0,3.5,0,12,0,190.6,0,61,0,62,1016.2
20-Dec,2020,12,34,7.2,12.1,3.6,16.9,-0.3,38.5,0,7,0,16,0,157.6,0,52,0,60,1015.9
21-Jan,2021,1,34,5.2,9.7,1.7,16.2,-4.5,50.5,0,5.5,0,19,0,167.6,0,54,0,61,1015.4
21-Feb,2021,2,34,8.2,13.6,3.7,21.2,-1.7,56,0,6,0,15,0,197.1,0,65,0,55,1013.1
21-Mar,2021,3,34,12.1,17.3,7.5,22.4,2.9,142.5,0,11.5,0,42,0,199.5,0,54,0,57,1012.3
21-Apr,2021,4,34,15.4,21,10.3,26.3,4.9,141.5,0,8,0,37.5,0,216.2,0,55,0,50,1011.8
21-May,2021,5,34,,,,,,,0,,0,,0,,0,,0,,
