É_ÉEÉìÉçÅ[ÉhÇµÇΩéûçèÅF2021/05/19 13:44:35,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,ïxéR,ïxéR,ïxéR,ïxéR,ïxéR,ïxéR,ïxéR,ïxéR,ïxéR,ïxéR,ïxéR,ïxéR,ïxéR,ïxéR,ïxéR,ïxéR,ïxéR
15-Dec,2015,12,16,7.3,11.1,3.7,17.8,0.6,300.5,0,12.5,0,72,0,79.3,0,27,0,74,1019.6
16-Jan,2016,1,16,3.8,7.2,1.2,16.7,-3.9,288.5,0,5,0,35,0,51.7,0,17,0,75,1017.1
16-Feb,2016,2,16,4.5,8.8,1,18.2,-2.8,214,0,8.5,0,29,0,94.2,0,30,0,71,1019.3
16-Mar,2016,3,16,8,13,3.6,23,-1.4,65.5,0,3.5,0,17,0,149.6,0,41,0,63,1018.7
16-Apr,2016,4,16,13.9,19.4,9,28.5,2.2,162.5,0,8,0,50,0,188.3,0,48,0,63,1012.2
16-May,2016,5,16,18.9,24.4,13.7,30.6,10.1,74.5,0,10,0,24,0,213.9,0,49,0,62,1010.9
16-Jun,2016,6,16,22.2,26.6,18.4,30.7,11.4,148,0,29,0,32,0,169.3,0,39,0,68,1007.3
16-Jul,2016,7,16,26,30.4,22.5,36.1,19.9,320.5,0,44.5,0,103.5,0,172.8,0,39,0,72,1007.7
16-Aug,2016,8,16,27.1,31.3,23.5,35,19.7,121.5,0,31,0,36,0,224.6,0,54,0,71,1003.3
16-Sep,2016,9,16,23.3,26.8,20.2,34.1,14.8,397.5,0,28.5,0,92,0,106,0,28,0,79,1011.4
16-Oct,2016,10,16,17.4,21.8,13.4,30.5,6.6,157.5,0,10.5,0,40.5,0,125.6,0,36,0,77,1016.6
16-Nov,2016,11,16,10.7,15,7,22.7,2.5,152,0,4.5,0,17.5,0,101.6,0,33,0,79,1018.7
16-Dec,2016,12,16,7,11.3,3.2,20.9,-0.9,233.5,0,9.5,0,55,0,82.3,0,28,0,79,1018.8
17-Jan,2017,1,16,3.3,6.9,0.4,14.2,-3.7,219.5,0,5.5,0,23,0,80,0,26,0,82,1017
17-Feb,2017,2,16,3.6,7.6,0.2,16.1,-2.2,183,0,8,0,47,0,82.4,0,27,0,79,1016.3
17-Mar,2017,3,16,6.6,11.7,2.4,18.8,-0.3,108.5,0,7,0,27.5,0,153.3,0,42,0,73,1015
17-Apr,2017,4,16,13.4,18.9,7.9,29.1,1.9,101.5,0,6.5,0,30,0,193,0,49,0,64,1011.4
17-May,2017,5,16,18.7,24.4,13.6,33.3,6.4,74,0,6,0,17,0,240.4,0,55,0,70,1010.7
17-Jun,2017,6,16,19.8,24.5,15.4,29.7,9.8,103.5,0,12.5,0,28,0,201.6,0,46,0,77,1007.4
17-Jul,2017,7,16,26.8,31.3,23.1,37.3,18.9,579,0,38,0,148,0,162.4,0,36,0,81,1007.1
17-Aug,2017,8,16,26.7,30.8,23.2,34.8,19.3,354.5,0,43.5,0,96,0,163.4,0,39,0,81,1005.3
17-Sep,2017,9,16,22,26.7,17.8,31.5,12.6,176,0,28,0,62.5,0,178.3,0,48,0,77,1010
17-Oct,2017,10,16,16.6,20.5,13.4,30.4,7.9,273,0,14,0,61.5,0,99.2,0,28,0,84,1017
17-Nov,2017,11,16,10.1,14.5,5.8,22.8,-0.3,202.5,0,8.5,0,28.5,0,116.4,0,38,0,80,1017.5
17-Dec,2017,12,16,4.4,8.1,1.5,15.5,-0.8,324.5,0,10,0,33,0,66.4,0,22,0,84,1017.2
18-Jan,2018,1,16,2,5.6,-1,11.8,-5.3,305.5,0,10,0,40,0,62,0,20,0,87,1015.7
18-Feb,2018,2,16,2,5.9,-1,11.9,-3,190.5,0,9.5,0,30.5,0,113.7,0,38,0,82,1017.5
18-Mar,2018,3,16,8.7,14.4,3.8,24.4,-0.8,216.5,0,7.5,0,33.5,0,179.7,0,49,0,70,1016.9
18-Apr,2018,4,16,14.1,20.2,8.8,30.5,2.6,154.5,0,6.5,0,29.5,0,171.3,0,44,0,72,1013.4
18-May,2018,5,16,17.9,23.2,13.2,32.8,6.2,186.5,0,10,0,36.5,0,173.7,0,40,0,75,1010
18-Jun,2018,6,16,22,26.9,17.6,34.9,12.7,118.5,0,25.5,0,64,0,177.1,0,40,0,76,1007.2
18-Jul,2018,7,16,28.1,32.8,23.8,37.1,19.7,207,0,22.5,0,114.5,0,288.7,0,65,0,76,1007.8
18-Aug,2018,8,16,27.8,32.8,23.8,39.5,16.5,316,0,41.5,0,116.5,0,204.9,0,49,0,75,1007
18-Sep,2018,9,16,22,26,18.8,33.5,14.6,563.5,0,30.5,0,98.5,0,101.4,0,27,0,85,1010.8
18-Oct,2018,10,16,17.1,21.6,13.1,32.8,8.8,153,0,20,0,30.5,0,130.2,0,37,0,79,1014.8
18-Nov,2018,11,16,12.3,16.8,8.5,24.7,4.4,120.5,0,10,0,20.5,0,134.6,0,44,0,80,1019.2
18-Dec,2018,12,16,6.3,10,3.1,24.8,-1.5,219,0,8,0,20.5,0,62.2,0,21,0,84,1019.8
19-Jan,2019,1,16,3.4,7.2,0.5,12.3,-2.9,187.5,0,6,0,22,0,82.5,0,27,0,81,1018.4
19-Feb,2019,2,16,4.9,9.2,1.6,16.8,-2.5,111.5,0,7,0,23.5,0,86.1,0,29,0,78,1019.1
19-Mar,2019,3,16,8.2,13.4,3.7,20.4,0,165,0,5.5,0,28.5,0,129.8,0,35,0,71,1013.2
19-Apr,2019,4,16,11.3,16.2,6.7,24.3,0.4,148.5,0,7.5,0,30.5,0,151.7,0,39,0,71,1012.6
19-May,2019,5,16,18.9,25.1,13.3,32.3,7.1,122,0,16.5,0,43.5,0,306.6,0,70,0,63,1011
19-Jun,2019,6,16,21.4,25.8,17.6,30.9,14.6,206,0,17,0,36.5,0,158.1,0,36,0,81,1005.3
19-Jul,2019,7,16,25.5,29.6,22.2,37.2,19.1,144,0,21,0,49.5,0,122.8,0,28,0,83,1006.5
19-Aug,2019,8,16,27.9,32.1,24.4,36.6,19.8,262.5,0,34,0,81.5,0,225,0,54,0,80,1006.2
19-Sep,2019,9,16,24,28.2,20.3,35.1,14.7,125,0,16.5,0,30,0,157.7,0,42,0,80,1013.3
19-Oct,2019,10,16,17.9,21.7,14.6,29.7,9.8,286.5,0,16,0,99,0,103.5,0,30,0,84,1014.8
19-Nov,2019,11,16,11.2,16.4,6.8,23.4,1.6,140.5,0,8,0,21.5,0,130.9,0,43,0,78,1018.5
19-Dec,2019,12,16,7.4,11.7,3.3,18.5,0.2,198.5,0,7.5,0,32.5,0,83.6,0,28,0,80,1019.6
20-Jan,2020,1,16,6.1,9.8,3,16,-0.8,205,0,7,0,29.5,0,67.6,0,22,0,83,1016.9
20-Feb,2020,2,16,5.5,10,1.6,17.5,-5.1,162,0,7.5,0,28,0,97.3,0,31,0,78,1019.5
20-Mar,2020,3,16,8.4,13.5,3.7,24.1,-0.3,163,0,7.5,0,27,0,157.3,0,43,0,74,1013.9
20-Apr,2020,4,16,10.9,16.3,6.1,24.3,2.4,164,0,8,0,52.5,0,173.3,0,44,0,70,1012.9
20-May,2020,5,16,18.7,24.3,14,29.7,8.6,23,0,5,0,9,0,191.6,0,44,0,71,1009.4
20-Jun,2020,6,16,23,27.6,18.9,32.4,15.1,235.5,0,18,0,81.5,0,186,0,43,0,79,1005.6
20-Jul,2020,7,16,23.9,27.5,21.3,33.9,19.3,382,0,22.5,0,87,0,51.5,0,12,0,90,1006.5
20-Aug,2020,8,16,28.8,33.9,24.5,38.9,21.2,49,0,8.5,0,14.5,0,253.7,0,61,0,76,1009.1
20-Sep,2020,9,16,24.5,29.2,20.8,38.2,14.4,184,0,18.5,0,31.5,0,161.7,0,43,0,79,1009.5
20-Oct,2020,10,16,16.7,21.3,12.9,26.4,6.4,90,0,6.5,0,28.5,0,132.7,0,38,0,78,1016
20-Nov,2020,11,16,12.5,17.4,8.1,26.3,3.6,143,0,9,0,29.5,0,132,0,43,0,76,1020
20-Dec,2020,12,16,5.6,9.4,2.6,15.2,-2.2,335.5,0,6.5,0,54,0,59.9,0,20,0,87,1017.7
21-Jan,2021,1,16,2.3,5.1,-0.1,13.9,-4.9,418,0,8.5,0,65,0,56.5,0,18,0,91,1017.6
21-Feb,2021,2,16,5.1,9.7,1.1,20.1,-2.6,218.5,0,7.5,0,47,0,115.7,0,38,0,74,1016.2
21-Mar,2021,3,16,9.6,14.9,4.8,24.4,-1,97,0,6.5,0,24,0,143.1,0,39,0,69,1017.2
21-Apr,2021,4,16,12.2,17.7,6.7,23.2,1.6,154.5,0,7,0,71,0,226.7,0,58,0,67,1016.9
21-May,2021,5,16,,,,,,,0,,0,,0,,0,,0,,
