É_ÉEÉìÉçÅ[ÉhÇµÇΩéûçèÅF2021/05/19 13:48:37,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,ïFç™,ïFç™,ïFç™,ïFç™,ïFç™,ïFç™,ïFç™,ïFç™,ïFç™,ïFç™,ïFç™,ïFç™,ïFç™,ïFç™,ïFç™,ïFç™,ïFç™
15-Dec,2015,12,25,8.6,12.1,5.1,21.4,0,118,0,19.5,0,53.5,0,114.1,0,38,0,72,1010.3
16-Jan,2016,1,25,4.9,8.4,1.4,12.9,-5.4,101,0,5,0,33,0,127.5,0,41,0,71,1008.2
16-Feb,2016,2,25,5.5,9.7,1.9,19.4,-2.5,84,0,6,0,22,0,153.9,0,49,0,69,1010.1
16-Mar,2016,3,25,8.3,13,4.2,20,-0.5,72,0,7.5,0,27,0,195.2,0,53,0,69,1009.2
16-Apr,2016,4,25,13.8,18.4,9.7,27.1,2.4,151,0,13,0,61,0,161.5,0,41,0,73,1003.6
16-May,2016,5,25,18.8,23.9,14.6,31,10.2,130,0,13.5,0,29.5,0,219.1,0,51,0,71,1002.8
16-Jun,2016,6,25,22,26.2,18.6,30.8,11.9,237,0,27,0,45.5,0,161.8,0,37,0,76,998.9
16-Jul,2016,7,25,26.3,30.5,23.1,35,20.8,157,0,21.5,0,54,0,206.1,0,47,0,75,999.6
16-Aug,2016,8,25,28.1,32.9,24.5,35.3,20.3,108,0,17.5,0,56,0,270.5,0,65,0,70,994.5
16-Sep,2016,9,25,24.6,28.2,21.7,34,16.1,265,0,23.5,0,65,0,108.5,0,29,0,79,1002.2
16-Oct,2016,10,25,18.8,22.6,15,29.3,7.5,126,0,17.5,0,37.5,0,150.2,0,43,0,73,1007.2
16-Nov,2016,11,25,11.6,15.2,8,18.7,3.5,99.5,0,8.5,0,27.5,0,137.2,0,44,0,74,1009.2
16-Dec,2016,12,25,7.4,11.2,3.7,19.3,-0.4,98,0,9,0,34,0,121.5,0,40,0,75,1009.9
17-Jan,2017,1,25,3.9,7.3,0.8,12.4,-2.3,165.5,0,7.5,0,32.5,0,106.7,0,34,0,76,1008
17-Feb,2017,2,25,3.8,7.1,0.7,11,-2.4,122.5,0,7,0,24.5,0,98.6,0,32,0,76,1007.2
17-Mar,2017,3,25,7,11.2,3.2,17.5,-1,75.5,0,4.5,0,36.5,0,174.6,0,47,0,69,1005.7
17-Apr,2017,4,25,13.1,18.3,8.6,26.6,1.7,108.5,0,5.5,0,24,0,194.9,0,50,0,70,1003
17-May,2017,5,25,19,24.5,14.7,29.5,8.7,70.5,0,8.5,0,28.5,0,229.7,0,53,0,67,1002.3
17-Jun,2017,6,25,21,25.5,17.2,29.9,12.1,196.5,0,40,0,69.5,0,229.8,0,53,0,69,998.6
17-Jul,2017,7,25,27.4,31.7,24.5,34.8,21.2,276,0,52.5,0,78.5,0,166.1,0,38,0,77,999
17-Aug,2017,8,25,27.6,31.8,24.4,35.6,20.8,174.5,0,33.5,0,59,0,197.4,0,47,0,75,996.8
17-Sep,2017,9,25,22.7,27,19,30,14,94,0,11,0,31,0,184.9,0,50,0,73,1001.1
17-Oct,2017,10,25,17.2,20.4,14.4,27.3,7,450.5,0,26.5,0,200,0,98,0,28,0,79,1007.2
17-Nov,2017,11,25,10.4,14.4,6.8,20.2,2.2,68.5,0,4,0,15,0,149.8,0,48,0,76,1008.9
17-Dec,2017,12,25,5,8.6,2,13.8,-0.3,92.5,0,8,0,28,0,104.2,0,34,0,73,1008.9
18-Jan,2018,1,25,3.3,6.5,0.4,12.4,-3.4,113.5,0,4,0,17.5,0,110.6,0,36,0,76,1007
18-Feb,2018,2,25,3.3,7.1,-0.4,13.1,-4.2,31,0,3.5,0,16.5,0,147.1,0,48,0,71,1008.5
18-Mar,2018,3,25,8.8,14.2,4,22,-1.2,150,0,9.5,0,30,0,208.6,0,57,0,72,1007.7
18-Apr,2018,4,25,14.2,19.9,9.6,28.3,2.9,155.5,0,17,0,43,0,199.9,0,51,0,72,1005.1
18-May,2018,5,25,18,23,13.9,28.9,5.8,244,0,18,0,56.5,0,185.4,0,43,0,72,1001.8
18-Jun,2018,6,25,22.2,26.6,18.5,33.3,13.2,210,0,33.5,0,64.5,0,184.8,0,43,0,77,998.8
18-Jul,2018,7,25,28.5,33.3,24.9,36.8,21.5,310.5,0,47.5,0,177.5,0,273.1,0,62,0,74,999.5
18-Aug,2018,8,25,28.5,33.6,24.9,35.9,17.9,78.5,0,15.5,0,25.5,0,244,0,59,0,71,998.7
18-Sep,2018,9,25,22.8,26.4,19.9,32.8,14.8,312,0,29,0,68,0,91.6,0,25,0,83,1001.9
18-Oct,2018,10,25,17.9,22.2,14,30.2,9.1,60.5,0,22.5,0,25,0,170.4,0,49,0,74,1005.9
18-Nov,2018,11,25,12.8,16.8,9,21.2,3.5,62,0,11.5,0,37.5,0,159.7,0,52,0,76,1009.9
18-Dec,2018,12,25,7.6,10.9,4.2,18.6,-0.6,135.5,0,8,0,23,0,85.2,0,28,0,79,1010.5
19-Jan,2019,1,25,4.5,7.9,1.6,11.3,-1.9,61.5,0,3.5,0,12,0,95.6,0,31,0,77,1009.1
19-Feb,2019,2,25,5.8,9,2.8,14.7,-1.8,47.5,0,4.5,0,17,0,107.9,0,36,0,74,1009.5
19-Mar,2019,3,25,8.2,12.4,4.1,18.9,-0.6,79,0,3,0,14.5,0,152.8,0,41,0,73,1004.3
19-Apr,2019,4,25,11.9,16.5,7.7,24.2,0.6,116,0,7,0,24,0,189.3,0,48,0,72,1003.7
19-May,2019,5,25,18.5,24.4,13.7,31.2,5.8,74.5,0,12.5,0,45.5,0,271.8,0,63,0,64,1002.7
19-Jun,2019,6,25,22.1,26.3,18.9,30.4,14.4,147,0,10.5,0,34.5,0,182.1,0,42,0,76,996.8
19-Jul,2019,7,25,25.3,28.8,22.6,34.5,19.8,253,0,32.5,0,49,0,123.2,0,28,0,83,998.2
19-Aug,2019,8,25,28.4,32.8,25.1,36.9,20.5,198.5,0,16,0,44,0,219,0,53,0,75,998
19-Sep,2019,9,25,25.4,29.7,22.1,33.8,15,53.5,0,11.5,0,15.5,0,190.6,0,51,0,74,1004.2
19-Oct,2019,10,25,19.4,23,16.3,30.3,10.7,261,0,12,0,100,0,143.4,0,41,0,78,1005.3
19-Nov,2019,11,25,12.5,16.7,8.2,21.6,3.1,34,0,5.5,0,20.5,0,179.6,0,58,0,72,1009.1
19-Dec,2019,12,25,7.7,11,4.3,15.5,0.7,73,0,4.5,0,15.5,0,105.4,0,35,0,79,1010.8
20-Jan,2020,1,25,7,10,4.1,16.2,-0.6,86,0,7,0,16,0,83.3,0,27,0,75,1007.6
20-Feb,2020,2,25,5.8,9.4,2.4,15.6,-1.4,108,0,8,0,44,0,112.9,0,36,0,77,1010.6
20-Mar,2020,3,25,9.1,13.5,5.4,21.8,-0.3,109.5,0,5.5,0,30.5,0,182.8,0,50,0,72,1004.9
20-Apr,2020,4,25,11.2,16.5,7.1,24.7,2.8,171,0,9.5,0,60,0,216.5,0,55,0,70,1003.9
20-May,2020,5,25,18.3,23.2,14.3,28.1,9.4,135,0,11,0,59,0,184.9,0,43,0,74,1001.1
20-Jun,2020,6,25,23.4,27.7,19.9,31.4,14.8,265,0,28.5,0,81.5,0,179.6,0,41,0,77,997.2
20-Jul,2020,7,25,24.6,28,22.3,33.1,19.1,405,0,23.5,0,61.5,0,80.1,0,18,0,86,998.4
20-Aug,2020,8,25,29.3,34.2,25.7,36.3,22.5,54,0,27.5,0,28,0,271.2,0,65,0,73,1000.9
20-Sep,2020,9,25,24.8,28.9,21.6,34.8,16.2,150,0,17.5,0,65,0,141.3,0,38,0,76,1001
20-Oct,2020,10,25,17.3,21.3,13.7,26.4,6.9,196,0,8,0,45,0,168.3,0,48,0,75,1006.6
20-Nov,2020,11,25,12.8,16.8,8.7,26.1,5,36.5,0,5.5,0,16,0,164.8,0,53,0,76,1011.1
20-Dec,2020,12,25,6.5,9.9,3.3,13.7,-0.8,146.5,0,9,0,35.5,0,120.2,0,40,0,81,1008.9
21-Jan,2021,1,25,4,7.7,0.8,13.7,-4.3,79,0,4.5,0,23.5,0,123.1,0,40,0,76,1008.9
21-Feb,2021,2,25,6.3,10.8,2.4,19,-1.4,88,0,7.5,0,38.5,0,149.3,0,49,0,73,1007.4
21-Mar,2021,3,25,9.8,14.6,5.4,20.6,1,148,0,15.5,0,50,0,180.7,0,49,0,75,1008
21-Apr,2021,4,25,13.2,18.1,8.8,24,3.7,159,0,6,0,60.5,0,219.1,0,56,0,70,1007.7
21-May,2021,5,25,,,,,,,0,,0,,0,,0,,0,,
