ダウンロードした時刻：2021/05/19 13:54:36,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,徳島,徳島,徳島,徳島,徳島,徳島,徳島,徳島,徳島,徳島,徳島,徳島,徳島,徳島,徳島,徳島,徳島
Feb-16,7.5,11.6,3.5,19.6,-0.7,100.5,0,15.5,0,41.5,0,157.7,0,50,0,61,1021
Mar-16,10.5,15.2,6.2,21.7,0.9,83,0,11,0,44,0,197.6,0,54,0,63,1019.6
Apr-16,16.5,21,12.5,30.1,5.5,125.5,0,13.5,0,26.5,0,177.6,0,46,0,69,1013.2
May-16,20.5,24.9,16.3,29.2,10.9,143.5,0,18.5,0,39.5,0,221.8,0,52,0,69,1012.3
Jun-16,23,26.7,19.8,31.1,13.8,230.5,0,16,0,34.5,0,144.9,0,34,0,79,1008.4
Jul-16,27.3,31.4,24.4,35,21.1,85,0,32,0,38.5,0,234.3,0,53,0,79,1009.1
Aug-16,29.1,33.9,25.4,37.2,19.2,88.5,0,32.5,0,81.5,0,294.1,0,71,0,68,1004
Sep-16,25.1,28.5,22.5,31.7,20,510,0,85.5,0,250.5,0,107.4,0,29,0,84,1011.6
Oct-16,20.5,24,17.3,31,9.9,129.5,0,37.5,0,88.5,0,112.7,0,32,0,74,1016.9
Nov-16,14,17.7,10.8,24,6.4,83.5,0,6,0,28.5,0,152.6,0,49,0,70,1019.4
Dec-16,9.8,13.7,6.1,21.5,1.4,86,0,15,0,56.5,0,145.3,0,47,0,69,1020.7
Jan-17,6.6,10.5,3.1,15.5,-0.7,36.5,0,5.5,0,33.5,0,194.2,0,62,0,61,1019.6
Feb-17,6.8,11.3,3.2,21.2,-0.1,11.5,0,2,0,4.5,0,181.4,0,59,0,61,1018.3
Mar-17,9.2,13.5,5.4,18.4,1.5,41.5,0,3,0,15.5,0,184.8,0,50,0,60,1016.5
Apr-17,15.5,19.9,11.2,24.5,5.4,91,0,9,0,23,0,206.3,0,53,0,66,1012.9
May-17,20.4,25.1,16.2,29,12.8,62.5,0,7.5,0,26.5,0,246.2,0,57,0,66,1012.3
Jun-17,22.5,26.6,18.8,29.7,14.6,166,0,34.5,0,91.5,0,212.7,0,49,0,69,1008.4
Jul-17,27.9,32,25.1,34.5,22,124,0,22,0,26,0,210.7,0,48,0,80,1008.9
Aug-17,28.9,32.7,25.8,36.2,23.6,143,0,30,0,133.5,0,238.3,0,57,0,74,1006.4
Sep-17,24.1,27.8,20.8,31.1,15.3,119.5,0,23,0,53.5,0,143.7,0,39,0,72,1010.9
Oct-17,18.6,21.6,16,29.5,9.5,630,0,19.5,0,226.5,0,106.9,0,30,0,79,1017.2
Nov-17,12.4,16.3,8.4,21.6,4.3,51.5,0,4,0,17.5,0,155.8,0,50,0,71,1019.7
Dec-17,6.9,10.8,3.5,15.1,0.8,19,0,5.5,0,17,0,178,0,58,0,60,1020.6
Jan-18,5.3,9,2,16.2,-2.1,37.5,0,4.5,0,14,0,171.2,0,55,0,65,1018.7
Feb-18,5,8.9,1.5,15,-3.3,71,0,9.5,0,37,0,179.3,0,59,0,64,1019.8
Mar-18,10.9,15.9,6.2,22.1,1.3,165,0,9.5,0,38.5,0,224.2,0,61,0,69,1018
Apr-18,16.5,21.4,11.8,26.5,5.4,50.5,0,16.5,0,25,0,229.9,0,59,0,66,1015.2
May-18,19.5,23.6,15.7,28.1,10.4,194,0,14.5,0,48.5,0,207.2,0,48,0,71,1011.8
Jun-18,23,27.3,19.6,35.4,15.4,207,0,28.5,0,71.5,0,175.7,0,41,0,78,1008.4
Jul-18,28.4,32.6,25.3,37.3,21.7,258.5,0,14,0,76.5,0,244.1,0,56,0,78,1008.8
Aug-18,28.9,33.1,25.5,37.3,20.1,166.5,0,32.5,0,75,0,274.6,0,66,0,73,1008.1
Sep-18,24.1,27.4,21.4,32,17,443,0,37.5,0,128.5,0,105.8,0,29,0,82,1011.3
Oct-18,19.3,23.2,16,31,10.7,78.5,0,6,0,15.5,0,180,0,51,0,70,1016
Nov-18,14.3,18.3,10.8,23.7,4.8,31.5,0,9,0,13,0,179.3,0,58,0,68,1020.5
Dec-18,9.8,13.1,6.8,26.7,1.1,57,0,5,0,18.5,0,118.6,0,39,0,69,1021.6
Jan-19,7.1,10.9,3.6,14.8,0.4,15.5,0,4.5,0,13.5,0,161.4,0,51,0,62,1020.5
Feb-19,8.2,11.8,4.9,17.6,1.4,47.5,0,5.5,0,21,0,126.8,0,42,0,65,1020.3
Mar-19,10.8,15.2,6.7,23.1,1.8,84,0,6,0,22.5,0,188.5,0,51,0,65,1014.9
Apr-19,14.5,19.1,10.4,26.4,4.1,119.5,0,8,0,45.5,0,224.2,0,58,0,65,1013.7
May-19,20.2,24.9,15.8,29.4,9.7,190,0,44.5,0,154.5,0,252.4,0,59,0,65,1012.3
Jun-19,23.2,27.1,20,30.5,17.4,204,0,41.5,0,105.5,0,191.2,0,44,0,76,1006.4
Jul-19,25.8,29.2,23.3,34.2,21.3,266.5,0,25,0,75.5,0,121.4,0,28,0,84,1007.6
Aug-19,28,32,25.1,36.1,21.6,192.5,0,23,0,119,0,197.9,0,48,0,79,1007.2
Sep-19,26.2,30.2,23.1,34.8,18.1,64,0,10.5,0,24,0,194.5,0,52,0,75,1013.6
Oct-19,20.8,24.2,17.8,29.2,12.6,289,0,32.5,0,116,0,141,0,40,0,73,1015.1
Nov-19,14.2,18.4,10.2,24.2,4.8,7.5,0,3,0,6.5,0,190.3,0,61,0,66,1019.6
Dec-19,9.8,13.7,6.1,18.2,3.1,63,0,6,0,19,0,156.6,0,51,0,69,1021.5
Jan-20,8.9,12.2,5.9,18.2,2.6,80,0,7,0,29,0,149.1,0,48,0,67,1018.6
Feb-20,8.4,12.4,4.6,19.5,-0.4,30,0,2.5,0,12,0,159.6,0,50,0,63,1021.5
Mar-20,11.3,15.6,7.2,22.9,1.9,82,0,11.5,0,26.5,0,190.9,0,52,0,67,1015.3
Apr-20,13.8,18.5,9.4,24.4,5,117,0,11,0,40.5,0,251.8,0,65,0,58,1014.3
May-20,20.4,24.9,16.6,31.3,11.1,103,0,10.5,0,33,0,236.7,0,55,0,70,1010.7
Jun-20,24.1,28.1,20.9,32.7,17.8,159,0,14,0,71.5,0,174.3,0,41,0,77,1006.8
Jul-20,25.7,29.1,23.4,33.8,20.7,308.5,0,33,0,59.5,0,101.8,0,23,0,84,1007.9
Aug-20,29.9,34.6,26.3,37.7,24.4,19,0,19,0,19,0,315.2,0,76,0,73,1010.4
Sep-20,25.1,28.9,22.1,36.2,17.8,303.5,0,26,0,86.5,0,131.2,0,35,0,75,1010.4
Oct-20,18.7,22.5,15.5,26.7,10.1,387.5,0,27.5,0,118,0,174.1,0,50,0,71,1016.7
Nov-20,14.9,18.8,11.2,25.7,7.5,45,0,5.5,0,25,0,166.3,0,53,0,70,1021.5
Dec-20,8.6,12.4,5.3,16.8,1.4,9.5,0,1.5,0,4,0,189.5,0,62,0,61,1020.4
Jan-21,5.9,10,2.3,16.1,-2.9,65,0,6,0,34,0,183,0,58,0,66,1020.4
Feb-21,8.6,13.5,4.3,20.2,-1.2,56,0,9,0,38,0,187.9,0,62,0,62,1018.3
Mar-21,12.2,16.8,7.9,21.5,3.2,105,0,14,0,29.5,0,181.6,0,49,0,68,1018
Apr-21,15.4,20.2,10.8,25.5,6,65.5,0,7,0,28.5,0,230.9,0,59,0,63,1017.6
May-21,,,,,,,0,,0,,0,,0,,0,,
