ダウンロードした時刻：2021/05/19 13:56:20,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,福岡,福岡,福岡,福岡,福岡,福岡,福岡,福岡,福岡,福岡,福岡,福岡,福岡,福岡,福岡,福岡,福岡
Feb-16,7.9,12,4.2,20.6,0.5,98.5,0,12.5,0,32,0,106.6,0,34,0,65,1021.5
Mar-16,11.5,16.1,7.9,23.6,2,77.5,0,8.5,0,39,0,160.4,0,43,0,67,1018.9
Apr-16,16.8,21.3,13.4,26.3,9.2,196,0,15.5,0,58,0,160.2,0,41,0,74,1011.9
May-16,20.8,25.6,16.5,30.6,10.4,191.5,0,16,0,59.5,0,224.9,0,52,0,70,1010.6
Jun-16,23.6,27.4,20.7,32,15.9,394.5,0,36,0,129.5,0,137.7,0,32,0,81,1006.7
Jul-16,28.3,32.7,25.5,35.8,22.9,179.5,0,27,0,93.5,0,230,0,53,0,76,1007.6
Aug-16,29.3,34.3,26.1,37,18.8,128,0,31.5,0,56.5,0,285,0,69,0,72,1003.3
Sep-16,25.1,28.4,22.6,33,20,608.5,0,41.5,0,142,0,102.8,0,28,0,84,1009.8
Oct-16,21.3,25.1,18.6,32.8,13.8,181,0,25,0,71,0,113,0,32,0,77,1015.1
Nov-16,14.5,18.3,10.9,22.8,5.9,132.5,0,23,0,28.5,0,126.5,0,41,0,73,1018.9
Dec-16,10.5,14.4,7.1,20.6,2.6,141,0,14.5,0,25.5,0,125.1,0,41,0,70,1020.7
Jan-17,7.4,11.5,4,19,-0.6,69.5,0,7.5,0,24.5,0,139.5,0,44,0,66,1020.7
Feb-17,8.3,12.5,4.6,19.5,0.3,49.5,0,4,0,17.5,0,152.7,0,50,0,60,1019.4
Mar-17,10.5,14.7,7.2,19.4,4.1,46,0,3.5,0,14.5,0,169.2,0,46,0,61,1016.5
Apr-17,16.5,21.1,12.7,28.2,5.8,192.5,0,23.5,0,81,0,198,0,51,0,69,1011.9
May-17,21,25.8,17.2,31,14.3,81,0,11.5,0,43,0,253.9,0,59,0,65,1011.3
Jun-17,23.1,27.7,19.6,33.2,15.9,173,0,25,0,80.5,0,194.3,0,45,0,72,1007.2
Jul-17,29.4,33.3,26.5,36.1,22.8,146,0,8.5,0,80,0,207.5,0,47,0,77,1007.7
Aug-17,29.5,33.8,26.4,37.5,23.5,95.5,0,16.5,0,28,0,258.2,0,62,0,73,1005.4
Sep-17,24.3,28,21.3,31.3,17,128.5,0,10.5,0,43,0,136.6,0,37,0,76,1009.9
Oct-17,19.8,23.1,17.1,29.5,11,289.5,0,24.5,0,82.5,0,122.8,0,35,0,77,1015.9
Nov-17,13.6,17.6,10.1,22.8,4.4,23.5,0,3,0,6.5,0,145.4,0,47,0,68,1019.6
Dec-17,7.4,10.6,4.2,16,0.8,24,0,7,0,8.5,0,91,0,30,0,61,1021.9
Jan-18,5.7,9,2.8,18.6,-0.4,89.5,0,6.5,0,28.5,0,95.9,0,30,0,64,1019.7
Feb-18,6.2,10.1,2.7,16.8,-1.8,57,0,10.5,0,21,0,130.2,0,43,0,63,1020
Mar-18,11.9,16.9,7.7,23,3,147.5,0,9.5,0,32,0,202.4,0,55,0,69,1017.2
Apr-18,17.1,21.9,13,26.4,6.8,61,0,8.5,0,28,0,216.6,0,56,0,66,1014.3
May-18,20.8,25.3,16.9,31.6,10.4,134,0,24.5,0,49,0,190.6,0,44,0,68,1010.4
Jun-18,23.7,27.6,20.4,31.7,16.6,267,0,45,0,66,0,178.9,0,42,0,75,1006.6
Jul-18,28.7,32.6,25.7,38.3,20.8,466.5,0,36.5,0,236,0,250.3,0,57,0,74,1006.6
Aug-18,30,34.5,27,38.1,23.7,52,0,17,0,17,0,282.9,0,68,0,68,1005.9
Sep-18,24.8,28.5,22.1,34.8,17.5,176.5,0,12,0,40,0,118,0,32,0,75,1010.1
Oct-18,19.1,22.9,15.7,30.2,11.4,59.5,0,11.5,0,16,0,172.2,0,49,0,67,1015.5
Nov-18,14.3,19,10.5,23.5,4,39.5,0,16,0,17,0,165.7,0,53,0,68,1020
Dec-18,10.2,13.1,7.3,26,2.3,67,0,5,0,22,0,91.1,0,30,0,66,1022.1
Jan-19,8,11.7,4.4,14.8,0.6,54.5,0,8,0,29,0,140,0,45,0,65,1021.4
Feb-19,9.4,13.3,6.3,22.7,1.8,41.5,0,3.5,0,10.5,0,124.6,0,41,0,65,1019.8
Mar-19,11.9,16.1,8.3,22.8,4.8,99.5,0,6,0,37,0,186.6,0,51,0,63,1015
Apr-19,15.4,19.8,11.9,24.8,6.5,103,0,11,0,29.5,0,191.8,0,49,0,67,1012.9
May-19,21.1,26.4,16.7,32.2,10.1,42,0,13.5,0,24.5,0,262.3,0,61,0,58,1010.7
Jun-19,23.4,27.8,20.2,32.1,17.6,94,0,13.5,0,37.5,0,199.9,0,47,0,74,1005.4
Jul-19,26.4,29.9,24,35,20.4,295.5,0,37.5,0,93,0,133.4,0,31,0,81,1005.6
Aug-19,28,31.9,25.2,37.6,18.7,497,0,35,0,130.5,0,152.2,0,37,0,76,1005.2
Sep-19,25.9,29.9,23,34.8,16.8,136,0,18,0,50,0,165.3,0,45,0,76,1011.3
Oct-19,20.5,24.4,17.3,31.8,11.7,136.5,0,11.5,0,51,0,165.8,0,47,0,73,1014.7
Nov-19,14.9,19.4,11,23.8,6.4,29,0,10,0,12,0,169.1,0,54,0,68,1019
Dec-19,10.3,14.1,6.9,19.6,3.1,80,0,8,0,31.5,0,91,0,30,0,68,1021.4
Jan-20,9.5,12.7,6.8,19.5,1.6,153.5,0,19,0,46.5,0,93.2,0,30,0,71,1018.7
Feb-20,9.7,13.8,6.1,21.3,1.7,64.5,0,5.5,0,14.5,0,135.8,0,43,0,66,1021.5
Mar-20,12.4,16.5,8.7,23.8,2.5,158,0,23,0,44,0,178.2,0,48,0,64,1015.1
Apr-20,14.1,18.4,10.4,25.7,6.1,83,0,8,0,36,0,231.7,0,60,0,59,1015.1
May-20,20.4,24.7,16.9,29,13.3,147.5,0,14,0,51,0,217.5,0,51,0,71,1009.3
Jun-20,24.9,29.2,21.8,33.8,17.5,374.5,0,43,0,118.5,0,184.9,0,43,0,76,1005.4
Jul-20,25.5,28.9,23.2,34.6,19.8,740,0,47.5,0,167,0,86.5,0,20,0,82,1006.2
Aug-20,30.2,34.5,27,38,25.2,49,0,17,0,43,0,252.2,0,61,0,70,1008.9
Sep-20,24.5,28.4,21.4,37.1,16.2,310.5,0,22,0,82.5,0,168.2,0,45,0,74,1008.7
Oct-20,19.4,23.6,15.8,28.4,10.2,64.5,0,6,0,42,0,211,0,60,0,67,1016.2
Nov-20,15.3,19.5,11.7,26,7.2,25,0,3,0,14,0,150.1,0,48,0,66,1021.1
Dec-20,8.5,12.3,5.2,16.7,1,42.5,0,5.5,0,15.5,0,131.2,0,43,0,61,1021.9
Jan-21,7,10.6,3.8,20.1,-2.2,45.5,0,4,0,15,0,118.5,0,38,0,66,1020.8
Feb-21,10.2,14.7,6.3,23.7,-0.6,79.5,0,9,0,24,0,173.7,0,57,0,62,1018.3
Mar-21,13.5,18.3,9.7,25.2,5.8,116.5,0,15,0,33,0,186.6,0,51,0,69,1016.8
Apr-21,16.7,21.7,12.6,29.1,7.9,66,0,9,0,36,0,214.5,0,55,0,60,1016
May-21,,,,,,,0,,0,,0,,0,,0,,
