É_ÉEÉìÉçÅ[ÉhÇµÇΩéûçèÅF2021/05/19 13:41:28,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,âFìsã{,âFìsã{,âFìsã{,âFìsã{,âFìsã{,âFìsã{,âFìsã{,âFìsã{,âFìsã{,âFìsã{,âFìsã{,âFìsã{,âFìsã{,âFìsã{,âFìsã{,âFìsã{,âFìsã{
Jun-16,21.7,26.3,17.8,32.6,10.4,111,0,6.5,0,35,0,141.9,0,32,0,71,993.3
Jul-16,24.2,28.8,20.9,33.6,17.9,81,0,10,0,15,0,100,0,22,0,78,994.2
Aug-16,26.2,31.4,22.8,36.2,19.7,431.5,0,83,0,128,0,144.3,0,34,0,76,989.5
Sep-16,23.3,27.2,20.4,33.6,14.7,399.5,0,51.5,0,108,0,90.9,0,24,0,81,997.7
Oct-16,17.1,21.7,13,30.8,6,65,0,6.5,0,41,0,146.8,0,42,0,69,1001.2
Nov-16,9.5,14.6,4.7,19.7,-1.7,91.5,0,9.5,0,45,0,163.6,0,53,0,71,1002.4
Dec-16,6,12.1,0.5,17.8,-4.4,57,0,7,0,24.5,0,216.6,0,72,0,63,1000.9
Jan-17,3.1,9.4,-1.9,17.2,-6.4,18,0,3,0,8,0,223.4,0,73,0,57,997.9
Feb-17,4.3,10.8,-1.2,20.3,-5.3,7.5,0,1,0,3.5,0,222.3,0,74,0,48,996.8
Mar-17,6.6,12.3,1.3,18.2,-3.1,61,0,6,0,30,0,193.3,0,52,0,56,997.5
Apr-17,13.2,19.7,7.7,27.7,2,111.5,0,8.5,0,34.5,0,208.6,0,53,0,60,996.1
May-17,19.1,24.4,14.2,32.3,6.9,83.5,0,11,0,44.5,0,190.1,0,44,0,67,996.1
Jun-17,20.9,26.1,16.7,29.9,11.2,127.5,0,22.5,0,75,0,153.5,0,35,0,69,992.4
Jul-17,26.4,31.2,22.9,34.6,20.1,188.5,0,39,0,72,0,132.7,0,30,0,78,993.1
Aug-17,25.1,29.2,22.2,36.1,19.1,210,0,30,0,53,0,54,0,13,0,83,992
Sep-17,21.9,26.8,18,33.5,12.7,112,0,7.5,0,24,0,148.9,0,40,0,77,995.7
Oct-17,15.7,19.8,12.3,28.1,3.6,343.5,0,30.5,0,95.5,0,101.7,0,29,0,83,1002.2
Nov-17,9.6,15.5,4.3,22.1,-0.6,34,0,3.5,0,18.5,0,181,0,59,0,72,1000.8
Dec-17,3.8,10.1,-1.3,14,-4.7,10.5,0,2,0,5.5,0,225.9,0,75,0,68,999
Jan-18,2,7.9,-2.8,14,-8,31.5,0,4,0,15.5,0,227.4,0,74,0,62,997
Feb-18,3.1,9.3,-1.9,15.3,-5.5,6,0,1,0,2.5,0,196.1,0,65,0,59,999.5
Mar-18,9.7,15.7,3.8,24.9,-1,145.5,0,12,0,42.5,0,211.3,0,57,0,62,1000.2
Apr-18,15.3,21.6,9.8,29.9,2.4,79,0,9,0,42,0,202.7,0,52,0,67,997.7
May-18,18.8,24.6,13.5,30.2,5.8,139,0,8,0,30,0,206.6,0,47,0,70,995.1
Jun-18,21.9,26.7,17.9,34.7,13.9,103.5,0,10,0,39.5,0,169,0,39,0,78,993.3
Jul-18,27.6,32.8,23.7,36.9,18.3,166,0,43,0,53,0,172.7,0,39,0,78,994.6
Aug-18,26.9,32.4,22.9,36.4,15,273.5,0,33,0,67,0,182.6,0,44,0,79,993.1
Sep-18,21.9,26.5,18.7,32.7,11.7,210.5,0,15,0,25.5,0,77.8,0,21,0,86,997.6
Oct-18,17.7,22.6,13.7,33.5,6.5,69.5,0,20.5,0,30,0,149.8,0,43,0,75,999.6
Nov-18,12.4,17.4,8,23.8,2.3,17,0,5,0,13,0,178.1,0,58,0,72,1003.3
Dec-18,5.5,11.2,0.7,20.5,-4.7,16,0,3.5,0,8.5,0,182.2,0,61,0,69,1001.8
Jan-19,3,9.6,-2.8,14.3,-5.3,4,0,1.5,0,4,0,247.6,0,81,0,55,999.1
Feb-19,4.9,11,-0.3,18.8,-4.3,28.5,0,4.5,0,13.5,0,177.2,0,59,0,59,1000.9
Mar-19,8.6,14.5,3,24.1,-1.3,83,0,7.5,0,32.5,0,203.8,0,55,0,60,996.2
Apr-19,12.1,18.3,6.8,26.5,-0.4,117.5,0,4.5,0,38,0,205.7,0,52,0,62,996.6
May-19,19.3,25.5,13.5,34.4,4.3,158,0,20.5,0,116,0,226,0,52,0,62,996.8
Jun-19,20.9,25.6,17.2,31.5,14.5,288.5,0,27.5,0,42,0,113.6,0,26,0,81,991.7
Jul-19,23.7,27.7,21,35.6,16,186,0,26,0,44,0,54.3,0,12,0,87,993.8
Aug-19,27.4,32.4,24.2,36.4,20.3,209.5,0,54,0,72.5,0,160.9,0,38,0,82,993.1
Sep-19,23.9,28.8,20.5,35.5,15.9,156,0,48,0,52.5,0,125,0,34,0,78,999.4
Oct-19,18.3,22.3,14.7,30.1,10.1,520.5,0,52.5,0,325.5,0,118.9,0,34,0,81,1000.2
Nov-19,11,16.3,6.2,22,-1,91.5,0,6.5,0,40.5,0,176.8,0,58,0,72,1001.8
Dec-19,6,11.4,1.2,17.7,-2.7,24.5,0,2.5,0,6,0,138.3,0,46,0,73,1002.8
Jan-20,5,10.3,0.3,17.7,-3.2,73,0,13.5,0,48.5,0,170.3,0,55,0,69,999.8
Feb-20,5.8,11.7,0.3,18.1,-7.1,23.5,0,4,0,16.5,0,205.1,0,66,0,61,1001.6
Mar-20,9.1,14.9,3.6,24,-1.5,99.5,0,8.5,0,38.5,0,205.9,0,56,0,64,997.1
Apr-20,11.4,17.5,5.8,24.2,1.3,170.5,0,16.5,0,91.5,0,225.4,0,58,0,66,996
May-20,18.7,24.2,14,29.9,7.6,136,0,19.5,0,45.5,0,178.6,0,41,0,72,995
Jun-20,22.5,27.3,18.7,33.1,15.7,326.5,0,34.5,0,72.5,0,131.2,0,30,0,81,991.6
Jul-20,23.3,26.6,20.7,31.8,16.9,237.5,0,22.5,0,44,0,38.6,0,9,0,91,993.1
Aug-20,28.2,33.6,24.1,37.5,20.9,42.5,0,12,0,12,0,198.1,0,47,0,77,995.4
Sep-20,23.5,28,20.5,34.8,14,108.5,0,20.5,0,26.5,0,104.8,0,28,0,81,996.6
Oct-20,16.1,20.7,12.4,26.1,4.9,125,0,5,0,28.5,0,119.7,0,34,0,77,1001.1
Nov-20,11.5,17.2,6.4,22,0.9,11,0,4.5,0,6.5,0,184.6,0,60,0,72,1003.5
Dec-20,5,11,0.2,15.7,-5,0,0,0,0,0,0,204.9,0,68,0,68,999.7
Jan-21,2.8,8.7,-2.2,17.3,-7.2,19.5,0,2,0,9,0,187.8,0,61,0,64,999.9
Feb-21,5.5,12.6,-0.7,22.7,-4.1,38.5,0,11,0,38.5,0,241.2,0,80,0,52,997.6
Mar-21,10.6,16.6,5.1,23.8,-0.3,176.5,0,12,0,50.5,0,198.2,0,54,0,63,1000.6
Apr-21,13.5,19.6,7.9,25.4,2,100.5,0,17,0,40,0,218.4,0,56,0,59,1001
May-21,,,,,,,0,,0,,0,,0,,0,,
