É_ÉEÉìÉçÅ[ÉhÇµÇΩéûçèÅF2021/05/19 13:45:57,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,çbï{,çbï{,çbï{,çbï{,çbï{,çbï{,çbï{,çbï{,çbï{,çbï{,çbï{,çbï{,çbï{,çbï{,çbï{,çbï{,çbï{
Jul-16,26.3,32.5,22.2,38.2,20.2,75.5,0,8.5,0,20.5,0,200.6,0,45,0,68,977.6
Aug-16,27.1,33.4,23,38.5,16.8,231.5,0,52,0,57,0,199.5,0,48,0,69,973.3
Sep-16,24.2,28.5,21,34.5,17.9,210.5,0,20,0,87.5,0,110.1,0,30,0,75,981.1
Oct-16,18.2,23.2,14.4,32.7,8.4,63.5,0,14.5,0,26.5,0,136.9,0,39,0,69,984.7
Nov-16,10.3,15.4,6.1,21,-0.4,62.5,0,9,0,22.5,0,150.5,0,49,0,69,985.7
Dec-16,5.9,12.2,0.5,17.3,-3.7,81.5,0,10.5,0,25,0,209.3,0,69,0,59,984.8
Jan-17,3.2,9.8,-2.3,15.2,-6.8,22.5,0,4,0,19,0,235.5,0,76,0,49,981.7
Feb-17,4.9,11.2,-0.8,16.8,-5.1,17,0,2.5,0,10.5,0,202.1,0,67,0,45,980.4
Mar-17,7.4,13.9,1.6,20,-3.4,67.5,0,3.5,0,16,0,226.5,0,61,0,51,980.4
Apr-17,14,20.9,8.4,29.5,2.8,76,0,8,0,27.5,0,207.1,0,53,0,54,979.3
May-17,19.8,26.5,14.4,33.1,6.6,46,0,8.5,0,19.5,0,210,0,48,0,58,979.4
Jun-17,22,28.3,17.2,32.8,11.1,64.5,0,11,0,45,0,201.2,0,46,0,58,975.7
Jul-17,27.4,33.3,23.5,36.3,21.5,118,0,26.5,0,59.5,0,189.1,0,43,0,67,977.1
Aug-17,27.3,32.7,23.9,37.5,21.6,98.5,0,41,0,51.5,0,146.5,0,35,0,69,975.2
Sep-17,22.6,27.9,18.3,33.3,13.6,112.5,0,10,0,24.5,0,171.7,0,46,0,65,979.1
Oct-17,16.5,20.8,12.8,30.2,3.1,419,0,19,0,104,0,115.7,0,33,0,74,985.2
Nov-17,9.8,16.2,4.2,22.7,-1,18.5,0,6,0,14.5,0,208.5,0,68,0,61,984.5
Dec-17,4.3,10.8,-1.3,15.7,-4.7,16,0,6.5,0,15,0,243.1,0,80,0,48,982.5
Jan-18,2.5,8.5,-2.8,15,-7.5,43.5,0,4.5,0,19.5,0,213,0,69,0,48,980.5
Feb-18,3.8,10.4,-1.8,17.2,-7,11,0,2,0,5,0,200.6,0,66,0,46,982.3
Mar-18,10.2,17.2,4.5,26.2,-1,187,0,9.5,0,62,0,224.1,0,61,0,56,983.2
Apr-18,16.3,23.6,10.4,30.7,2,74.5,0,10,0,33,0,223.1,0,57,0,54,981
May-18,19.3,25.7,14.1,31.1,7.3,99.5,0,12,0,36,0,202.8,0,47,0,59,978.7
Jun-18,23,28.8,18.7,34.3,14.4,67.5,0,7.5,0,26,0,198.3,0,46,0,65,976.7
Jul-18,28.3,34.5,24.4,40.3,21.1,118,0,17,0,29,0,237.1,0,54,0,65,978.4
Aug-18,28.2,34.5,23.8,38.7,15.7,148.5,0,35,0,57.5,0,238.5,0,57,0,64,977
Sep-18,22.7,27.4,19.5,33.9,14.3,330.5,0,17.5,0,78.5,0,99.4,0,27,0,74,980.9
Oct-18,18.1,24,13.5,33.5,6.6,28.5,0,7,0,10,0,191,0,55,0,63,982.9
Nov-18,12.4,17.8,7.5,24.5,2,15.5,0,5.5,0,11,0,180.7,0,59,0,65,986.4
Dec-18,6.6,12.4,1.7,20.9,-5,29.5,0,4.5,0,12,0,182.7,0,60,0,55,985
Jan-19,3.6,10.1,-2.3,16,-5.9,6,0,2.5,0,5.5,0,231.5,0,75,0,43,982.6
Feb-19,6.1,12.6,0.8,19,-4.1,33,0,4,0,20,0,173.9,0,57,0,50,983.7
Mar-19,9.6,16.2,3.9,25,-1.1,63.5,0,4.5,0,23,0,217.3,0,59,0,48,979.3
Apr-19,13.6,20.2,7.8,28.8,-0.4,56.5,0,4.5,0,33.5,0,224.9,0,58,0,49,979.3
May-19,19.3,26.5,13.4,35.2,5.5,80.5,0,17.5,0,68,0,251.4,0,58,0,53,980.3
Jun-19,22.2,27.8,18.3,33.7,14,134.5,0,10,0,41,0,163.3,0,38,0,65,974.9
Jul-19,24.8,29.7,21.9,36.4,18.3,190.5,0,22.5,0,37,0,89.6,0,20,0,80,977.1
Aug-19,27.9,33.8,24.4,37.6,21.8,101,0,12.5,0,18.5,0,192.3,0,46,0,75,976.9
Sep-19,25.2,31.2,21.3,37.1,16.7,63,0,7,0,23.5,0,182.3,0,49,0,70,982.7
Oct-19,19.1,23.7,15.8,31.4,11.7,363.5,0,17,0,169,0,125.2,0,36,0,77,983.2
Nov-19,11.9,18,6.9,24.4,-1,33.5,0,3.5,0,21.5,0,196.5,0,64,0,70,984.9
Dec-19,6.9,12.3,2.2,17.9,-1.8,42.5,0,4.5,0,17.5,0,167.9,0,56,0,69,986
Jan-20,5.6,11,0.8,15.9,-3.1,51.5,0,5.5,0,16,0,176.4,0,57,0,68,982.8
Feb-20,6.4,12.7,0.5,20.7,-6.3,12.5,0,4.5,0,10,0,215.1,0,68,0,56,984.7
Mar-20,10.3,16.6,4.7,25.3,-1.8,108,0,8.5,0,41,0,209,0,57,0,61,980
Apr-20,12.8,19.5,6.8,26.8,2.1,128,0,8,0,45.5,0,260.1,0,67,0,57,978.9
May-20,19.8,26.3,14.7,33.4,7.4,59.5,0,9,0,37,0,202.3,0,47,0,64,978.3
Jun-20,23.5,29.1,19.5,34.1,15.8,177,0,15.5,0,43,0,156,0,36,0,75,975.2
Jul-20,24.6,29.1,21.7,34.4,18.6,470,0,36.5,0,128,0,71,0,16,0,84,976.7
Aug-20,29,35.8,24.7,39.3,21.5,60,0,19,0,33.5,0,252.8,0,61,0,71,979.4
Sep-20,24.4,29.5,21,36.8,11.5,129.5,0,38.5,0,47.5,0,125.7,0,34,0,76,979.9
Oct-20,16.5,21.4,12.6,29,3.6,229.5,0,9,0,84.5,0,138.6,0,40,0,76,984.3
Nov-20,12,18.3,6.6,23.8,1.7,4.5,0,1.5,0,3,0,208.6,0,68,0,68,987.1
Dec-20,5.7,12.4,0.2,18.4,-5.3,1,0,1,0,1,0,234.7,0,78,0,59,983
Jan-21,3.3,9.4,-1.7,16.1,-7,33,0,3,0,13,0,195.2,0,63,0,60,983
Feb-21,7,14.1,0.6,22.3,-4.6,40,0,10,0,34,0,233.4,0,77,0,46,981.1
Mar-21,11.5,18.2,5.8,25.6,-0.1,102,0,11,0,41.5,0,198.1,0,54,0,61,983.6
Apr-21,14.5,21.2,8.6,27.1,3.7,55,0,6,0,26,0,230.4,0,59,0,55,983.8
May-21,,,,,,,0,,0,,0,,0,,0,,
