É_ÉEÉìÉçÅ[ÉhÇµÇΩéûçèÅF2021/05/19 13:48:37,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,ïFç™,ïFç™,ïFç™,ïFç™,ïFç™,ïFç™,ïFç™,ïFç™,ïFç™,ïFç™,ïFç™,ïFç™,ïFç™,ïFç™,ïFç™,ïFç™,ïFç™
Jun-16,22,26.2,18.6,30.8,11.9,237,0,27,0,45.5,0,161.8,0,37,0,76,998.9
Jul-16,26.3,30.5,23.1,35,20.8,157,0,21.5,0,54,0,206.1,0,47,0,75,999.6
Aug-16,28.1,32.9,24.5,35.3,20.3,108,0,17.5,0,56,0,270.5,0,65,0,70,994.5
Sep-16,24.6,28.2,21.7,34,16.1,265,0,23.5,0,65,0,108.5,0,29,0,79,1002.2
Oct-16,18.8,22.6,15,29.3,7.5,126,0,17.5,0,37.5,0,150.2,0,43,0,73,1007.2
Nov-16,11.6,15.2,8,18.7,3.5,99.5,0,8.5,0,27.5,0,137.2,0,44,0,74,1009.2
Dec-16,7.4,11.2,3.7,19.3,-0.4,98,0,9,0,34,0,121.5,0,40,0,75,1009.9
Jan-17,3.9,7.3,0.8,12.4,-2.3,165.5,0,7.5,0,32.5,0,106.7,0,34,0,76,1008
Feb-17,3.8,7.1,0.7,11,-2.4,122.5,0,7,0,24.5,0,98.6,0,32,0,76,1007.2
Mar-17,7,11.2,3.2,17.5,-1,75.5,0,4.5,0,36.5,0,174.6,0,47,0,69,1005.7
Apr-17,13.1,18.3,8.6,26.6,1.7,108.5,0,5.5,0,24,0,194.9,0,50,0,70,1003
May-17,19,24.5,14.7,29.5,8.7,70.5,0,8.5,0,28.5,0,229.7,0,53,0,67,1002.3
Jun-17,21,25.5,17.2,29.9,12.1,196.5,0,40,0,69.5,0,229.8,0,53,0,69,998.6
Jul-17,27.4,31.7,24.5,34.8,21.2,276,0,52.5,0,78.5,0,166.1,0,38,0,77,999
Aug-17,27.6,31.8,24.4,35.6,20.8,174.5,0,33.5,0,59,0,197.4,0,47,0,75,996.8
Sep-17,22.7,27,19,30,14,94,0,11,0,31,0,184.9,0,50,0,73,1001.1
Oct-17,17.2,20.4,14.4,27.3,7,450.5,0,26.5,0,200,0,98,0,28,0,79,1007.2
Nov-17,10.4,14.4,6.8,20.2,2.2,68.5,0,4,0,15,0,149.8,0,48,0,76,1008.9
Dec-17,5,8.6,2,13.8,-0.3,92.5,0,8,0,28,0,104.2,0,34,0,73,1008.9
Jan-18,3.3,6.5,0.4,12.4,-3.4,113.5,0,4,0,17.5,0,110.6,0,36,0,76,1007
Feb-18,3.3,7.1,-0.4,13.1,-4.2,31,0,3.5,0,16.5,0,147.1,0,48,0,71,1008.5
Mar-18,8.8,14.2,4,22,-1.2,150,0,9.5,0,30,0,208.6,0,57,0,72,1007.7
Apr-18,14.2,19.9,9.6,28.3,2.9,155.5,0,17,0,43,0,199.9,0,51,0,72,1005.1
May-18,18,23,13.9,28.9,5.8,244,0,18,0,56.5,0,185.4,0,43,0,72,1001.8
Jun-18,22.2,26.6,18.5,33.3,13.2,210,0,33.5,0,64.5,0,184.8,0,43,0,77,998.8
Jul-18,28.5,33.3,24.9,36.8,21.5,310.5,0,47.5,0,177.5,0,273.1,0,62,0,74,999.5
Aug-18,28.5,33.6,24.9,35.9,17.9,78.5,0,15.5,0,25.5,0,244,0,59,0,71,998.7
Sep-18,22.8,26.4,19.9,32.8,14.8,312,0,29,0,68,0,91.6,0,25,0,83,1001.9
Oct-18,17.9,22.2,14,30.2,9.1,60.5,0,22.5,0,25,0,170.4,0,49,0,74,1005.9
Nov-18,12.8,16.8,9,21.2,3.5,62,0,11.5,0,37.5,0,159.7,0,52,0,76,1009.9
Dec-18,7.6,10.9,4.2,18.6,-0.6,135.5,0,8,0,23,0,85.2,0,28,0,79,1010.5
Jan-19,4.5,7.9,1.6,11.3,-1.9,61.5,0,3.5,0,12,0,95.6,0,31,0,77,1009.1
Feb-19,5.8,9,2.8,14.7,-1.8,47.5,0,4.5,0,17,0,107.9,0,36,0,74,1009.5
Mar-19,8.2,12.4,4.1,18.9,-0.6,79,0,3,0,14.5,0,152.8,0,41,0,73,1004.3
Apr-19,11.9,16.5,7.7,24.2,0.6,116,0,7,0,24,0,189.3,0,48,0,72,1003.7
May-19,18.5,24.4,13.7,31.2,5.8,74.5,0,12.5,0,45.5,0,271.8,0,63,0,64,1002.7
Jun-19,22.1,26.3,18.9,30.4,14.4,147,0,10.5,0,34.5,0,182.1,0,42,0,76,996.8
Jul-19,25.3,28.8,22.6,34.5,19.8,253,0,32.5,0,49,0,123.2,0,28,0,83,998.2
Aug-19,28.4,32.8,25.1,36.9,20.5,198.5,0,16,0,44,0,219,0,53,0,75,998
Sep-19,25.4,29.7,22.1,33.8,15,53.5,0,11.5,0,15.5,0,190.6,0,51,0,74,1004.2
Oct-19,19.4,23,16.3,30.3,10.7,261,0,12,0,100,0,143.4,0,41,0,78,1005.3
Nov-19,12.5,16.7,8.2,21.6,3.1,34,0,5.5,0,20.5,0,179.6,0,58,0,72,1009.1
Dec-19,7.7,11,4.3,15.5,0.7,73,0,4.5,0,15.5,0,105.4,0,35,0,79,1010.8
Jan-20,7,10,4.1,16.2,-0.6,86,0,7,0,16,0,83.3,0,27,0,75,1007.6
Feb-20,5.8,9.4,2.4,15.6,-1.4,108,0,8,0,44,0,112.9,0,36,0,77,1010.6
Mar-20,9.1,13.5,5.4,21.8,-0.3,109.5,0,5.5,0,30.5,0,182.8,0,50,0,72,1004.9
Apr-20,11.2,16.5,7.1,24.7,2.8,171,0,9.5,0,60,0,216.5,0,55,0,70,1003.9
May-20,18.3,23.2,14.3,28.1,9.4,135,0,11,0,59,0,184.9,0,43,0,74,1001.1
Jun-20,23.4,27.7,19.9,31.4,14.8,265,0,28.5,0,81.5,0,179.6,0,41,0,77,997.2
Jul-20,24.6,28,22.3,33.1,19.1,405,0,23.5,0,61.5,0,80.1,0,18,0,86,998.4
Aug-20,29.3,34.2,25.7,36.3,22.5,54,0,27.5,0,28,0,271.2,0,65,0,73,1000.9
Sep-20,24.8,28.9,21.6,34.8,16.2,150,0,17.5,0,65,0,141.3,0,38,0,76,1001
Oct-20,17.3,21.3,13.7,26.4,6.9,196,0,8,0,45,0,168.3,0,48,0,75,1006.6
Nov-20,12.8,16.8,8.7,26.1,5,36.5,0,5.5,0,16,0,164.8,0,53,0,76,1011.1
Dec-20,6.5,9.9,3.3,13.7,-0.8,146.5,0,9,0,35.5,0,120.2,0,40,0,81,1008.9
Jan-21,4,7.7,0.8,13.7,-4.3,79,0,4.5,0,23.5,0,123.1,0,40,0,76,1008.9
Feb-21,6.3,10.8,2.4,19,-1.4,88,0,7.5,0,38.5,0,149.3,0,49,0,73,1007.4
Mar-21,9.8,14.6,5.4,20.6,1,148,0,15.5,0,50,0,180.7,0,49,0,75,1008
Apr-21,13.2,18.1,8.8,24,3.7,159,0,6,0,60.5,0,219.1,0,56,0,70,1007.7
May-21,,,,,,,0,,0,,0,,0,,0,,
