ダウンロードした時刻：2021/05/19 13:47:36,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,名古屋,名古屋,名古屋,名古屋,名古屋,名古屋,名古屋,名古屋,名古屋,名古屋,名古屋,名古屋,名古屋,名古屋,名古屋,名古屋,名古屋
Feb-16,6.5,11.7,2.2,23.5,-2.1,64.5,0,9,0,27,0,184.2,0,58,0,56,1013.9
Mar-16,10.5,16.4,5.7,22.7,-0.6,111,0,13,0,52,0,232.7,0,63,0,55,1012.6
Apr-16,15.9,21.1,11.3,27.2,4.5,200,0,30,0,53.5,0,175.5,0,45,0,61,1007.4
May-16,20.6,25.9,16.2,32.8,11.7,145,0,15.5,0,25,0,213.7,0,49,0,63,1007
Jun-16,22.9,27.5,19.3,32.9,13.8,218.5,0,28,0,55,0,154.3,0,36,0,71,1002.9
Jul-16,27,31.6,23.6,35.3,20.1,170,0,19,0,63.5,0,183,0,41,0,70,1003.5
Aug-16,28.6,33.8,24.9,37.8,20.5,120,0,25.5,0,47.5,0,235.7,0,57,0,67,998.2
Sep-16,25.2,29.3,22.4,34.1,17.9,298.5,0,24,0,93.5,0,101.5,0,27,0,77,1006.2
Oct-16,19.7,24.2,15.9,29.3,9.7,132.5,0,14,0,41.5,0,143.5,0,41,0,67,1010.7
Nov-16,12.6,17,8.8,21.8,4.3,78,0,5,0,23.5,0,168,0,54,0,66,1012.7
Dec-16,8.1,13,4.1,18,0.3,93,0,12,0,34,0,190,0,63,0,63,1013.6
Jan-17,4.8,9.6,1,14,-3.6,24.5,0,3.5,0,13.5,0,187.4,0,60,0,63,1011.5
Feb-17,5.2,10.2,1.2,15.3,-1.5,48,0,6.5,0,24.5,0,186.4,0,61,0,58,1010.6
Mar-17,8.4,13.9,4,20.2,0.8,74,0,6,0,38.5,0,216.7,0,59,0,55,1009.1
Apr-17,14.7,20.2,10.3,25.9,4.2,158,0,9.5,0,42.5,0,198,0,51,0,59,1006.9
May-17,20.5,26,15.7,32.7,10.3,64.5,0,8.5,0,20,0,224.5,0,52,0,59,1006.3
Jun-17,22.4,27.9,18,34,14.3,133,0,14,0,50,0,223.4,0,52,0,61,1002.3
Jul-17,28.1,32.7,24.7,35.1,21.4,265,0,40.5,0,99,0,172.9,0,39,0,72,1003.1
Aug-17,28.1,32.6,24.8,35.5,21.4,221.5,0,30.5,0,77.5,0,165.6,0,40,0,71,1000.7
Sep-17,23.6,28.4,19.8,31.9,13,107.5,0,12.5,0,29.5,0,174.1,0,47,0,66,1004.9
Oct-17,17.9,21.7,14.9,29.9,7.4,530,0,31,0,170,0,112.5,0,32,0,75,1010.8
Nov-17,11.5,16.2,7.5,22.8,2.6,47.5,0,4,0,16.5,0,180,0,58,0,67,1012.8
Dec-17,5.7,10.1,2,14.9,-0.7,28,0,9.5,0,21.5,0,179.5,0,59,0,63,1012.6
Jan-18,3.8,8.5,0.2,14.6,-3.9,41,0,3,0,15.5,0,194.3,0,62,0,64,1010.8
Feb-18,4.7,9.9,0.4,16.3,-3.2,17.5,0,3.5,0,13.5,0,185.1,0,61,0,53,1012.3
Mar-18,11.2,17.4,6,25.3,1,202.5,0,15,0,37.5,0,232,0,63,0,58,1011.1
Apr-18,16.5,22.4,11.5,29,3.6,213.5,0,14,0,56,0,221,0,57,0,59,1008.8
May-18,19.8,24.8,15.4,30.7,8.7,253.5,0,26,0,71.5,0,211.2,0,49,0,64,1005.6
Jun-18,23.4,28.1,19.6,33.9,14.8,193.5,0,23,0,57.5,0,190,0,44,0,70,1002.7
Jul-18,29.3,34.4,25.8,39.6,22.1,152.5,0,13,0,65.5,0,241.7,0,55,0,65,1003.7
Aug-18,29.7,35.3,25.9,40.3,20.8,128,0,62.5,0,74,0,239.7,0,58,0,60,1002.5
Sep-18,23.6,27.7,20.6,33.2,15,365.5,0,19.5,0,53.5,0,103.8,0,28,0,74,1006.1
Oct-18,18.9,23.9,14.9,29.6,10.2,23.5,0,2.5,0,6.5,0,179.8,0,51,0,62,1009.7
Nov-18,13.8,18.7,9.9,23.1,3.7,44,0,6,0,25.5,0,183.5,0,59,0,58,1013.5
Dec-18,8.1,12.3,4.5,20.1,-1.2,60.5,0,6,0,10.5,0,148.5,0,49,0,61,1014.3
Jan-19,5.1,9.7,1.2,13.5,-2.1,14.5,0,3.5,0,13,0,190.5,0,61,0,54,1012.7
Feb-19,7.2,12,3.4,18,-0.5,56.5,0,5,0,23.5,0,161.1,0,53,0,51,1012.9
Mar-19,10.1,15.4,5.8,21.7,1.4,80,0,6.5,0,28,0,196.1,0,53,0,53,1007.9
Apr-19,14.1,19.4,9.6,28.4,2.1,117.5,0,5.5,0,29,0,219.1,0,56,0,54,1007.2
May-19,20.4,26.2,15.4,33.9,8.5,146,0,23,0,72,0,267.7,0,62,0,50,1006.5
Jun-19,23.1,27.7,19.5,32.3,16.4,172,0,11,0,51.5,0,178.5,0,41,0,70,1000.6
Jul-19,25.9,29.7,22.9,36.8,19.8,283.5,0,22.5,0,42,0,102.1,0,23,0,81,1002.3
Aug-19,28.9,33.9,25.7,38,21.8,204,0,16.5,0,56.5,0,220.2,0,53,0,73,1002.2
Sep-19,26.7,31.6,23.1,36.6,17.7,39,0,8,0,14,0,177.2,0,48,0,69,1007.9
Oct-19,20.3,24.5,17.1,31.4,12,356.5,0,24,0,124,0,147,0,42,0,74,1008.7
Nov-19,13.4,18.3,9.1,23.1,3.2,18,0,3.5,0,4,0,205.1,0,66,0,64,1012.4
Dec-19,8.8,13,5.2,17.8,1.2,68,0,7,0,19.5,0,144.1,0,47,0,69,1014.4
Jan-20,7.6,11.8,4.1,17.7,0.7,55.5,0,12.5,0,22,0,146.6,0,47,0,67,1011.2
Feb-20,7.1,11.8,3.1,19.7,-2.2,53.5,0,6.5,0,21,0,184.2,0,58,0,63,1014.2
Mar-20,10.7,15.9,6.4,22.4,0.8,149.5,0,9.5,0,42.5,0,201.1,0,54,0,63,1008.4
Apr-20,13.4,19,8.6,26,4.7,111,0,8,0,28.5,0,254.9,0,65,0,57,1007.2
May-20,20.6,25.7,16.1,30.8,11.8,135,0,9.5,0,57,0,213.6,0,49,0,65,1004.9
Jun-20,24.6,29.3,21.1,33.2,18,230,0,24.5,0,48,0,164.2,0,38,0,73,1001
Jul-20,25.4,29.1,22.9,34.8,19.3,405.5,0,24,0,53,0,78.2,0,18,0,84,1002.6
Aug-20,30.3,35.9,26.5,38.2,23.9,13,0,5,0,5,0,265.5,0,64,0,68,1004.8
Sep-20,25.4,30,22.2,35.7,17.1,230.5,0,60,0,69,0,148.5,0,40,0,75,1005
Oct-20,18,22.5,14.5,28.8,8,269,0,14,0,86,0,178.2,0,51,0,69,1010.2
Nov-20,14,18.9,9.8,24.9,6,36.5,0,8,0,14.5,0,202.5,0,65,0,66,1014.7
Dec-20,7.4,12,3.6,17.2,-0.2,22,0,2.5,0,5.5,0,178.3,0,59,0,71,1012.4
Jan-21,5,9.5,1.5,15.4,-3.7,56.5,0,6,0,19,0,161.7,0,52,0,69,1012.6
Feb-21,7.5,12.7,3.2,21,-1.8,46.5,0,9,0,34,0,164.8,0,54,0,60,1011.1
Mar-21,12,17.5,7.3,24.5,2.8,203.5,0,16.5,0,51.5,0,192.8,0,52,0,64,1011.4
Apr-21,15.2,20.6,10.5,27.9,5.2,192,0,19,0,89,0,219.5,0,56,0,59,1011.3
May-21,,,,,,,0,,0,,0,,0,,0,,
