É_ÉEÉìÉçÅ[ÉhÇµÇΩéûçèÅF2021/05/19 13:35:36,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,éDñy,éDñy,éDñy,éDñy,éDñy,éDñy,éDñy,éDñy,éDñy,éDñy,éDñy,éDñy,éDñy,éDñy,éDñy,éDñy,éDñy
Jun-16,16.3,20.3,13.4,28.4,8.4,112.5,0,8,0,26,0,157.7,0,34,0,73,1006.3
Jul-16,20.7,25,17.6,30.5,13.4,118.5,0,12,0,26,0,211.1,0,46,0,75,1006.8
Aug-16,23.9,28.3,20.4,31.9,15.1,279,0,30,0,89.5,0,225.3,0,52,0,73,1004
Sep-16,19.4,23.6,15.8,31.1,9.5,107,0,11,0,22.5,0,155,0,41,0,72,1011.8
Oct-16,10.6,14.6,6.9,24.7,0.5,78,0,8.5,0,42,0,145,0,42,0,58,1012
Nov-16,2.1,5.4,-0.8,14.5,-7,115.5,0,8.5,0,33,0,89.6,0,31,0,65,1014.3
Dec-16,-1,2.1,-4.3,11.9,-9.2,206.5,0,6,0,46,0,78.8,0,28,0,69,1012
Jan-17,-3.9,-1.1,-7,4.7,-12.8,72.5,0,3.5,0,8.5,0,77.2,0,27,0,70,1010.4
Feb-17,-2,1,-5.3,8.3,-10.8,57.5,0,2.5,0,7,0,87,0,30,0,66,1008.2
Mar-17,1.4,4.5,-1.5,9.6,-5.7,75.5,0,3.5,0,19,0,184.1,0,50,0,64,1010.2
Apr-17,7.7,12.3,3.4,20,-2.4,65.5,0,7.5,0,28.5,0,193.2,0,48,0,59,1006.3
May-17,14.4,19.7,10.2,27.7,4.2,57.5,0,8,0,34.5,0,212.4,0,47,0,62,1007.6
Jun-17,16,20.7,12.1,29.6,7.2,168.5,0,10.5,0,44.5,0,165.8,0,36,0,72,1004.5
Jul-17,22.9,27.7,19.3,34.9,16,75.5,0,26.5,0,32,0,200.8,0,43,0,73,1004.5
Aug-17,21.7,25.8,18.5,29.6,12.5,78.5,0,10,0,34,0,184.4,0,43,0,70,1006
Sep-17,17.7,22.5,13.7,26.9,7.6,187,0,23,0,67.5,0,183.3,0,49,0,67,1007.7
Oct-17,11.3,15.4,7.2,22.3,1.4,114,0,8.5,0,29.5,0,152.9,0,45,0,63,1015.7
Nov-17,4.3,7.7,0.6,17.4,-6.6,129,0,5,0,27,0,94,0,32,0,66,1010.5
Dec-17,-2,0.8,-5,8.8,-9,77,0,3.5,0,18,0,84.8,0,30,0,67,1009
Jan-18,-2.6,0,-5.5,5.9,-12.7,99.5,0,4.5,0,12,0,88.4,0,31,0,66,1006.9
Feb-18,-4.2,-1,-7.6,4.4,-11.1,43,0,2,0,6,0,115.3,0,39,0,65,1010.8
Mar-18,2.4,6.1,-1.5,16.4,-7.8,115.5,0,6.5,0,35,0,159.1,0,43,0,62,1011.9
Apr-18,8.2,13,4.1,24.5,-0.3,36.5,0,3,0,11,0,184.1,0,46,0,57,1009.1
May-18,13.4,18.3,9.3,28.2,5.6,66,0,4,0,15.5,0,205.4,0,45,0,63,1007.3
Jun-18,16.6,21.1,13,30.7,7.2,141.5,0,9,0,54.5,0,160.1,0,35,0,69,1005.4
Jul-18,21.4,25.7,18.2,33.9,10.5,155.5,0,13.5,0,61,0,177.4,0,38,0,77,1007.1
Aug-18,21.2,25,18.3,32.5,12.8,228.5,0,16,0,44,0,123.4,0,29,0,79,1006.1
Sep-18,18.9,23.1,14.9,28.2,10.2,49.5,0,14.5,0,35,0,184.4,0,49,0,69,1010.5
Oct-18,13,17.7,9.1,22.1,4.3,187,0,27.5,0,60.5,0,161.4,0,47,0,72,1011.4
Nov-18,6.4,9.6,3.2,17.9,-4,73,0,7.5,0,13,0,106.8,0,37,0,71,1015.7
Dec-18,-1,1.4,-4,13,-8.9,86.5,0,6.5,0,14,0,75.8,0,27,0,73,1012.6
Jan-19,-3,-0.2,-5.9,4.1,-12.3,86,0,4,0,15,0,102.5,0,35,0,70,1009.5
Feb-19,-2.6,0.3,-5.7,8.1,-13.1,32.5,0,2,0,7,0,114.1,0,39,0,65,1012.4
Mar-19,2.5,6.1,-0.9,13.7,-4.6,39,0,2,0,6.5,0,157.3,0,43,0,65,1007.7
Apr-19,8,13.3,3.5,23.2,-1.4,30.5,0,5.5,0,17.5,0,223.4,0,56,0,59,1007.8
May-19,15.7,21.8,10.8,34.2,5.9,29.5,0,5,0,12.5,0,270.8,0,60,0,61,1007.1
Jun-19,17.4,22.4,13.8,29.4,9.7,71,0,9.5,0,30,0,193.1,0,42,0,73,1005.2
Jul-19,21.7,26.1,18.7,33.5,14.8,31.5,0,4,0,9,0,185.1,0,40,0,76,1006.5
Aug-19,22.5,26.5,19.7,34.2,15.7,144.5,0,13.5,0,26,0,164.6,0,38,0,78,1005.6
Sep-19,19.3,24,15.4,32.6,9.8,108.5,0,9,0,64,0,208.5,0,56,0,70,1011.6
Oct-19,13.3,17.5,8.9,25.7,3.8,97,0,8.5,0,37,0,158.6,0,46,0,70,1014.3
Nov-19,3.9,7.7,0.5,16.8,-5.4,82,0,5,0,21,0,121.5,0,42,0,66,1012.9
Dec-19,-0.8,2.6,-4.2,10.2,-7.7,62,0,4.5,0,20.5,0,88.2,0,32,0,71,1013.8
Jan-20,-2.3,0.4,-5.3,3.9,-8.8,51.5,0,3.5,0,14,0,93.8,0,32,0,71,1013.8
Feb-20,-2.1,0.8,-5.2,8.5,-14.9,157,0,7,0,26,0,99.6,0,33,0,73,1014.2
Mar-20,3.3,6.8,0,14.1,-3.8,107.5,0,5,0,28,0,174.2,0,47,0,67,1008.8
Apr-20,6.8,11.1,3.1,20.9,0,52.5,0,5,0,16,0,187.3,0,47,0,65,1008.7
May-20,13.7,18.9,9.4,29.9,4.8,45.5,0,6,0,12,0,205.3,0,45,0,66,1006.8
Jun-20,18.3,22.6,14.8,30,10.9,51.5,0,5.5,0,18,0,142.4,0,31,0,73,1004.1
Jul-20,21.2,25.7,18.2,29.3,15.3,56.5,0,13.5,0,25.5,0,200,0,43,0,77,1006.4
Aug-20,23.3,28.1,19.6,34.3,13.2,124,0,22,0,61.5,0,189.5,0,44,0,76,1006.9
Sep-20,20.1,24,17,32.7,10.6,53.5,0,4.5,0,15,0,140.1,0,37,0,76,1011.7
Oct-20,13.1,17.1,9.4,22.8,4.6,66,0,8.5,0,11,0,152.9,0,45,0,69,1012.7
Nov-20,6.3,9.6,3,18.9,-1.2,113,0,6.5,0,36.5,0,84,0,29,0,69,1013.4
Dec-20,-1.6,1.3,-4.3,7.6,-12.6,26.5,0,2,0,4.5,0,95.2,0,34,0,65,1010.4
Jan-21,-4.4,-1.2,-8.2,6.2,-12.6,90.5,0,7,0,12.5,0,109.5,0,38,0,70,1011.3
Feb-21,-2.2,1.4,-5.6,7.5,-10.8,78.5,0,3.5,0,14,0,114.2,0,39,0,69,1006.5
Mar-21,3.8,7.9,0.2,18.3,-7.4,79.5,0,4,0,32,0,161.7,0,44,0,67,1013
Apr-21,7.9,12.6,3.9,19,-1.2,112,0,8,0,45,0,207.1,0,52,0,60,1012.9
May-21,,,,,,,0,,0,,0,,0,,0,,
