ダウンロードした時刻：2021/05/19 13:41:59,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,前橋,前橋,前橋,前橋,前橋,前橋,前橋,前橋,前橋,前橋,前橋,前橋,前橋,前橋,前橋,前橋,前橋
Feb-16,5.6,11.3,0.9,22.9,-2.4,13.5,0,6,0,9.5,0,211.6,0,68,0,51,1005.1
Mar-16,9,14.2,4.3,22.1,-2.4,45,0,3.5,0,21.5,0,213.9,0,58,0,56,1005.2
Apr-16,14.9,20.2,10.1,28.5,4,74,0,6,0,44,0,185,0,47,0,57,1000.1
May-16,20.2,25.9,15.3,33.4,10.6,41,0,6,0,9,0,208,0,48,0,59,999.9
Jun-16,22.2,26.7,18.3,33.3,10.9,188,0,19,0,74,0,144.4,0,33,0,69,996.3
Jul-16,25.4,29.8,21.7,37,18.8,108,0,34,0,35,0,144,0,32,0,75,997
Aug-16,26.9,31.5,23.4,35.5,19.1,330,0,38.5,0,105.5,0,171.5,0,42,0,74,992.4
Sep-16,23.9,27.7,20.9,34.6,14.9,246.5,0,21,0,54,0,97.8,0,26,0,79,1000.5
Oct-16,17.6,22.4,13.7,31.7,6.4,39,0,4,0,15.5,0,159.7,0,46,0,64,1004.6
Nov-16,10.1,15,5.9,22.3,-0.3,51.5,0,5.5,0,13.5,0,169.6,0,55,0,64,1006
Dec-16,7.3,12.9,2.7,18.8,-1.4,36,0,6.5,0,17.5,0,215,0,72,0,55,1004.7
Jan-17,4,9.5,-0.2,15.6,-4.3,15.5,0,3,0,13,0,214.4,0,70,0,56,1001.9
Feb-17,4.7,10.2,0.3,19.7,-3.1,2,0,0.5,0,1,0,225.5,0,75,0,49,1000.9
Mar-17,7.2,12.1,2.8,17.8,-1.4,40,0,4,0,12.5,0,199.5,0,54,0,53,1001
Apr-17,13.8,20.1,8.4,28.5,2.2,46,0,4.5,0,29.5,0,227.4,0,58,0,53,999.2
May-17,19.8,25.4,14.7,33.3,7,72.5,0,8,0,39.5,0,209.8,0,48,0,61,999
Jun-17,21.9,27.2,17.5,31.3,11.6,57.5,0,11,0,26.5,0,198,0,45,0,62,995.3
Jul-17,27.3,32,23.5,35.6,20.3,277,0,38.5,0,89,0,166.8,0,38,0,73,995.9
Aug-17,25.8,30.1,22.6,35.8,19.6,211,0,28,0,43,0,92.9,0,22,0,79,994.8
Sep-17,22.5,27.4,18.4,32.8,12.5,84,0,7.5,0,31,0,177.6,0,48,0,68,998.6
Oct-17,16.2,20.2,13,31,7,381,0,22,0,91,0,114.7,0,33,0,78,1005.5
Nov-17,10.4,15.8,5.9,23.2,0.7,6,0,2.5,0,4,0,187.5,0,61,0,58,1004.3
Dec-17,5.3,11,1,17,-2.7,0,0,0,0,0,0,232.7,0,78,0,52,1002.7
Jan-18,3.5,8.3,-0.5,16.1,-5.4,18,0,3,0,14,0,225.1,0,73,0,50,1000.8
Feb-18,3.8,9.6,-0.7,15.5,-4.5,16,0,1.5,0,7,0,198.3,0,66,0,51,1003.1
Mar-18,10.2,15.9,4.9,25.3,0.4,89.5,0,7,0,20.5,0,231.9,0,63,0,50,1003.6
Apr-18,15.8,22,10.6,30.5,3.6,54,0,7.5,0,20,0,222.6,0,57,0,55,1000.9
May-18,19.7,25.3,14.5,30.8,8.1,111,0,6.5,0,32,0,221.6,0,51,0,61,998.1
Jun-18,22.8,27.6,18.5,35.9,14.1,132,0,25,0,30.5,0,203,0,47,0,68,996.1
Jul-18,28.8,33.9,24.4,39,18.7,153,0,39,0,41.5,0,237.3,0,53,0,69,997.3
Aug-18,27.9,33.3,23.6,39.1,15.6,198,0,47.5,0,63.5,0,220.2,0,53,0,71,995.9
Sep-18,22.3,26.4,19.1,33.2,14.2,220.5,0,32.5,0,55.5,0,89,0,24,0,79,1000.5
Oct-18,18.1,22.9,14.4,31.4,7.6,26,0,24,0,9.5,0,160.5,0,46,0,68,1002.8
Nov-18,12.9,18.1,8.6,23.3,2.6,17,0,4,0,12.5,0,187.3,0,61,0,64,1006.6
Dec-18,6.8,12.1,2.6,19.6,-3.2,11.5,0,3.5,0,5.5,0,184.5,0,61,0,59,1005.4
Jan-19,4,9.6,-0.4,14.2,-2.7,0.5,0,0.5,0,0.5,0,235.5,0,77,0,53,1003.1
Feb-19,5.8,11.2,1.1,18.9,-2.7,5,0,1,0,3.5,0,190.2,0,63,0,49,1004.7
Mar-19,9,14.8,4.1,22.5,-0.4,70.5,0,6,0,27.5,0,221.9,0,60,0,51,999.8
Apr-19,12.8,18.7,7.6,27.9,0.6,67.5,0,4,0,20.5,0,217.4,0,56,0,55,999.8
May-19,20.2,26.4,14.5,35,5.8,59,0,9.5,0,43.5,0,263.1,0,60,0,53,999.7
Jun-19,21.7,26.5,17.9,32.9,14.6,202,0,14.5,0,31.5,0,144.5,0,33,0,74,994.5
Jul-19,24.3,28.1,21.3,36,16.6,287,0,49,0,84.5,0,72.8,0,16,0,84,996.6
Aug-19,28.4,33.3,24.8,38.9,21.7,179,0,26.5,0,74.5,0,189.2,0,45,0,74,995.7
Sep-19,24.6,29.2,20.9,37,17.3,75.5,0,16.5,0,29,0,156.7,0,42,0,70,1002.4
Oct-19,18.9,23.3,15.2,30.6,11,432.5,0,39.5,0,233.5,0,134.1,0,38,0,74,1003.3
Nov-19,11.8,17.1,7.4,25.9,1.1,50.5,0,4.5,0,19,0,197.9,0,65,0,64,1005.2
Dec-19,7,11.9,3,18,-0.3,18.5,0,3,0,8.5,0,167.6,0,56,0,64,1006.4
Jan-20,6.1,11.1,2.1,18.2,-0.8,57.5,0,4.5,0,26.5,0,177.5,0,58,0,62,1003.4
Feb-20,6.6,12,2.1,20.4,-4.9,7.5,0,1.5,0,3.5,0,216,0,69,0,55,1005.2
Mar-20,9.6,14.9,4.7,24.3,-1.2,88,0,6,0,36,0,216.3,0,59,0,59,1000.6
Apr-20,12.1,17.7,6.9,25.5,3.3,138,0,11.5,0,57.5,0,253.1,0,65,0,57,999.3
May-20,19.5,25.1,14.7,33.2,8.6,103,0,8.5,0,50.5,0,187.9,0,43,0,64,997.9
Jun-20,23.5,28.2,19.5,34.3,17.1,191.5,0,26.5,0,50,0,150.6,0,35,0,74,994.3
Jul-20,24,27.4,21.2,34.5,17.3,267,0,30.5,0,55.5,0,52.3,0,12,0,87,995.9
Aug-20,29.5,35.1,24.9,39.8,21.8,64.5,0,29.5,0,46,0,240,0,57,0,68,998.1
Sep-20,24,28.3,20.9,35.4,14,244.5,0,48,0,71,0,104.6,0,28,0,80,999.4
Oct-20,16.6,21.3,13,28.6,6.7,150.5,0,4.5,0,40.5,0,134,0,38,0,72,1004.3
Nov-20,12.3,17.7,7.8,23.6,3.3,3.5,0,1,0,1.5,0,203.4,0,66,0,60,1007
Dec-20,6.3,12.4,1.7,17.9,-2.3,0,0,0,0,0,0,219.1,0,73,0,59,1003.2
Jan-21,4,9.3,-0.3,16.3,-5.2,27.5,0,2,0,13,0,192.6,0,63,0,57,1003.5
Feb-21,6.3,12.5,1.1,23.4,-3.2,30.5,0,7,0,28,0,225.3,0,75,0,49,1001.4
Mar-21,10.8,16.1,6.1,24.9,0.8,72,0,6.5,0,39,0,210.8,0,57,0,55,1004.1
Apr-21,14,19.7,8.5,26.3,2.3,50.5,0,8,0,36,0,222.6,0,57,0,52,1004.2
May-21,,,,,,,0,,0,,0,,0,,0,,
