É_ÉEÉìÉçÅ[ÉhÇµÇΩéûçèÅF2021/05/19 13:52:39,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,èºç],èºç],èºç],èºç],èºç],èºç],èºç],èºç],èºç],èºç],èºç],èºç],èºç],èºç],èºç],èºç],èºç]
Jun-16,22.3,26.8,19,30.5,11.3,166,0,16,0,42.5,0,146.5,0,34,0,81,1006.1
Jul-16,26.6,30.8,23.5,34.8,19.9,77,0,20,0,28,0,177,0,40,0,80,1006.8
Aug-16,27.2,32.2,23.6,37,18.8,140.5,0,23,0,54,0,238,0,57,0,77,1002.7
Sep-16,23.3,26.7,20.7,32.8,15.2,293,0,20,0,74,0,83.8,0,23,0,85,1010.3
Oct-16,18.5,22.3,15.3,31.1,9,103.5,0,14.5,0,33,0,108.3,0,31,0,78,1015.6
Nov-16,12.2,16.2,8.8,21.5,4.9,120,0,6.5,0,26,0,96.8,0,31,0,79,1017.9
Dec-16,8.3,12.4,4.4,22.6,0.7,252,0,7.5,0,63.5,0,90.6,0,30,0,82,1018.7
Jan-17,4.8,8.4,1.4,14.3,-2.4,186.5,0,6.5,0,45,0,81.2,0,26,0,77,1018
Feb-17,5.1,9.5,1.1,14.6,-1.4,199.5,0,13,0,41,0,103.9,0,34,0,77,1016.7
Mar-17,7.5,12.8,3.2,18.2,-0.4,69,0,5,0,15.5,0,163.3,0,44,0,72,1015.2
Apr-17,14.6,19.4,9.5,26.1,2.9,106.5,0,8.5,0,51.5,0,215.1,0,55,0,70,1010.4
May-17,19.4,24.8,14.5,31.3,8.5,30,0,6,0,12.5,0,234.3,0,54,0,67,1009.9
Jun-17,20.9,25.9,16.5,30.3,12.1,86.5,0,11,0,42.5,0,218.9,0,50,0,75,1006.6
Jul-17,27.6,31.5,24.8,35.3,22.1,168.5,0,31.5,0,74,0,172.3,0,39,0,80,1006.4
Aug-17,27.4,31.5,24.4,37.7,20.2,141.5,0,20.5,0,36,0,209.8,0,50,0,78,1004.8
Sep-17,22.1,26.3,18.5,29.6,13.5,214.5,0,16,0,97.5,0,148.4,0,40,0,79,1009.6
Oct-17,17.5,21,14.3,28.2,6.5,358,0,12.5,0,121,0,110.1,0,32,0,81,1016.2
Nov-17,11.1,15.7,6.7,22.3,2.5,93,0,9,0,24,0,137.4,0,45,0,76,1017.6
Dec-17,5.5,9.1,2.2,14.7,-0.2,107,0,6,0,30,0,57.6,0,19,0,75,1018.6
Jan-18,3.7,7.1,1,15.7,-4.3,164.5,0,5.5,0,36,0,69.8,0,23,0,79,1016.8
Feb-18,3.3,7.8,-0.7,13.7,-7,86,0,5,0,24.5,0,123.5,0,41,0,77,1017.8
Mar-18,9.2,14.8,4.2,22.3,-1.5,214,0,11,0,62,0,202.9,0,55,0,72,1016.4
Apr-18,14.4,19.8,9.5,27.5,3.5,98,0,6.5,0,42,0,190.2,0,49,0,72,1012.8
May-18,18.7,23.6,14.1,30.4,7.9,212.5,0,13.5,0,40,0,184.3,0,43,0,72,1009.3
Jun-18,21.8,25.9,18.2,31.9,14.5,233,0,20,0,52,0,167.7,0,39,0,78,1006.2
Jul-18,27.8,32.2,24.2,37.1,19.5,162.5,0,16,0,72,0,256.2,0,58,0,77,1006.5
Aug-18,28.6,33.7,24.8,37.9,18.6,58.5,0,31.5,0,47,0,245.2,0,59,0,71,1005.9
Sep-18,22.6,26.1,19.8,34.1,15.8,482,0,25.5,0,117,0,92.1,0,25,0,82,1009.9
Oct-18,17.4,21.9,13.7,31.9,7.4,56.5,0,8.5,0,20.5,0,152.6,0,44,0,76,1014.3
Nov-18,12.1,16.9,7.9,21.2,3,34.5,0,5,0,10.5,0,112.6,0,36,0,79,1019.1
Dec-18,7.6,11.2,4.6,23.2,-0.8,174.5,0,15.5,0,29,0,54,0,18,0,82,1020
Jan-19,5.8,10,1.8,13.8,-2.3,71.5,0,4.5,0,26,0,91.5,0,29,0,72,1018.7
Feb-19,6.4,10.8,2.8,15.5,-1.3,104.5,0,5.5,0,23.5,0,83.9,0,28,0,75,1018.5
Mar-19,9,14,4.6,23.3,-0.4,151,0,8,0,25,0,141.8,0,38,0,74,1013
Apr-19,12.4,17.6,7.4,28.6,0.6,114.5,0,7,0,30.5,0,171.2,0,44,0,73,1012
May-19,19.2,25.3,13.6,32.4,6.8,40,0,13.5,0,31.5,0,286.6,0,66,0,64,1009.8
Jun-19,21.5,26.4,17.8,32.3,13.1,176,0,14.5,0,48,0,169.9,0,39,0,80,1004.6
Jul-19,25.4,29.1,22.7,34.6,19.3,126,0,24,0,53,0,142.9,0,32,0,82,1005.2
Aug-19,27.6,31.7,24.6,37.4,20.5,208.5,0,17.5,0,62,0,186.9,0,45,0,80,1004.6
Sep-19,24.4,28.8,21.2,34.7,14.9,168,0,32.5,0,35.5,0,158.4,0,43,0,80,1011.9
Oct-19,18.6,22.3,15.2,31.5,10.2,153.5,0,16.5,0,58,0,132.7,0,38,0,81,1014.3
Nov-19,12.5,17.3,8.3,22.8,3.4,37,0,5.5,0,11,0,143.2,0,46,0,75,1018.1
Dec-19,8.1,12.6,4.2,17.6,0,140,0,11.5,0,22.5,0,75.9,0,25,0,79,1019.5
Jan-20,7.4,11,4.3,18.1,0.5,122,0,10,0,16.5,0,66.7,0,22,0,76,1017.1
Feb-20,6.4,11.2,2.1,18.3,-2.4,117,0,6.5,0,21,0,105.3,0,33,0,78,1019.7
Mar-20,9.8,14.6,5.1,23.7,0.3,161,0,8,0,50.5,0,160.5,0,43,0,72,1013.6
Apr-20,11.6,16.5,6.9,22.3,2,219,0,10,0,74.5,0,204.2,0,52,0,69,1013.1
May-20,18.4,23.4,14.5,31.1,9.7,49,0,5.5,0,18,0,203.8,0,47,0,75,1008.4
Jun-20,23.1,27.4,19.5,35,16.2,338,0,32,0,125,0,200.4,0,46,0,78,1004.5
Jul-20,24,27.4,21.7,33.4,18.6,401.5,0,43.5,0,113,0,72.4,0,16,0,88,1005.4
Aug-20,29.1,34,25.4,37.3,23.1,12,0,6,0,6,0,247.5,0,59,0,74,1008.1
Sep-20,23.6,27.7,20.4,35.6,13.8,238.5,0,24.5,0,71.5,0,144.8,0,39,0,78,1008.7
Oct-20,17,21.8,13.2,27.4,7.9,91.5,0,9.5,0,57,0,160.9,0,46,0,77,1015.7
Nov-20,13,17.8,9,27.4,4.7,67.5,0,5.5,0,21,0,132.2,0,43,0,78,1019.6
Dec-20,6.7,10.8,3.5,15.7,-0.5,198,0,7,0,46,0,82.1,0,27,0,78,1018.8
Jan-21,4.5,8.1,1.3,15.6,-3.9,126.5,0,7,0,18.5,0,97.4,0,31,0,77,1018.4
Feb-21,7.5,12.2,3,20.5,-2.6,83,0,5,0,22,0,134.7,0,44,0,69,1016.1
Mar-21,10.4,15.6,5.7,22.8,-0.2,124.5,0,6.5,0,33.5,0,174.5,0,47,0,73,1016.3
Apr-21,13.7,19.4,8.5,25.9,2.3,54.5,0,5,0,18.5,0,215.7,0,55,0,69,1015.7
May-21,,,,,,,0,,0,,0,,0,,0,,
