ダウンロードした時刻：2021/05/19 13:49:36,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,大阪,大阪,大阪,大阪,大阪,大阪,大阪,大阪,大阪,大阪,大阪,大阪,大阪,大阪,大阪,大阪,大阪
Mar-16,10.8,15.6,6.5,22,0.8,91,0,8.5,0,44.5,0,207,0,56,0,58,1010.3
Apr-16,16.6,21.3,12.5,27.5,5.5,127.5,0,12.5,0,55.5,0,168,0,43,0,63,1004.3
May-16,21.2,26.3,16.8,30.7,11.7,136.5,0,19.5,0,44.5,0,229.7,0,53,0,61,1003.6
Jun-16,23.3,27.6,19.8,32.3,14.4,325,0,40.5,0,47.5,0,148,0,34,0,72,999.7
Jul-16,28,32.6,24.8,36.3,21.8,66,0,6.5,0,25.5,0,214.1,0,49,0,70,1000.5
Aug-16,29.5,35,26,38.1,20.8,161.5,0,30.5,0,145.5,0,262.6,0,63,0,63,995.4
Sep-16,25.8,29.8,22.8,34.8,19.2,183.5,0,20,0,52,0,106.2,0,29,0,74,1003
Oct-16,20.3,24.8,16.8,31.2,10.5,42,0,7.5,0,13,0,148.3,0,42,0,67,1008.1
Nov-16,13.4,17.4,10,21.6,6.4,69,0,5,0,29.5,0,155.5,0,50,0,69,1010.4
Dec-16,9.4,13.1,5.8,21.2,1.6,104,0,17,0,35,0,155.9,0,51,0,67,1011.4
Jan-17,6.2,10,2.9,14.8,-0.8,33.5,0,4,0,22,0,166.7,0,53,0,62,1009.9
Feb-17,6.3,10.2,2.9,17.8,-0.6,45,0,6.5,0,15,0,144.3,0,47,0,62,1008.8
Mar-17,9.2,13.7,5.6,19.5,1.8,46.5,0,4.5,0,23,0,186.8,0,51,0,56,1007.1
Apr-17,15.7,20,11.3,25.7,5,94,0,8.5,0,41,0,199,0,51,0,60,1003.9
May-17,21.1,26,16.8,29.9,11.4,96,0,14.5,0,51,0,245.8,0,57,0,58,1003.3
Jun-17,22.7,27.5,18.8,32.3,15.1,167.5,0,18,0,72,0,216,0,50,0,63,999.5
Jul-17,28.8,33.1,25.9,36.4,22.8,45.5,0,10.5,0,22,0,193.7,0,44,0,72,1000
Aug-17,29.2,33.8,25.9,37.4,20.7,104.5,0,13,0,83,0,214.8,0,52,0,67,997.6
Sep-17,24.4,28.4,20.9,32.1,16.3,127.5,0,24,0,36,0,158.4,0,43,0,66,1002
Oct-17,18.4,21.6,15.7,29,8.3,430,0,17.5,0,174,0,105,0,30,0,76,1008.1
Nov-17,12.6,16.6,8.9,22.3,4.8,58,0,11.5,0,16,0,178.9,0,58,0,66,1010.3
Dec-17,7,10.7,3.7,14.5,0.4,27.5,0,7.5,0,23.5,0,175.2,0,57,0,60,1010.7
Jan-18,5,8.4,1.8,14.9,-2.5,51.5,0,4,0,24,0,172.7,0,55,0,63,1008.9
Feb-18,5.3,9.2,1.9,17.1,-1.3,28.5,0,5.5,0,23,0,186.1,0,61,0,58,1010
Mar-18,11.5,16.6,6.7,23.7,1.7,137,0,7,0,30.5,0,223.7,0,61,0,60,1008.7
Apr-18,16.9,21.6,12.4,25.9,6.1,140,0,14,0,36.5,0,218.4,0,56,0,60,1006.1
May-18,20.1,24.6,16.3,29.8,9.7,230.5,0,23.5,0,90,0,203.7,0,47,0,65,1002.8
Jun-18,23.4,27.9,20,33.6,15.8,192,0,18.5,0,57.5,0,179.3,0,42,0,72,999.6
Jul-18,29.5,34.2,26.1,38,21.7,332,0,30,0,124.5,0,235.4,0,54,0,69,1000.2
Aug-18,29.7,34.6,26.3,37.6,19.9,41.5,0,12.5,0,18,0,260.7,0,63,0,64,999.5
Sep-18,24.1,27.6,21.2,34.1,16.3,372,0,25.5,0,47,0,91.7,0,25,0,77,1002.6
Oct-18,19.7,23.9,16.3,31.3,11.4,24,0,4.5,0,4.5,0,198.7,0,57,0,64,1006.9
Nov-18,14.6,18.9,10.9,23.8,5.6,30.5,0,6.5,0,12,0,161.9,0,52,0,66,1011.2
Dec-18,9.4,13,6.2,24.5,1.8,72,0,18,0,19,0,133.3,0,44,0,67,1012.1
Jan-19,6.5,10.1,3.2,12.7,0.7,22.5,0,4.5,0,18,0,147.6,0,47,0,62,1010.8
Feb-19,7.8,11.4,4.5,16.3,1,42.5,0,3.5,0,16.5,0,123.7,0,41,0,63,1010.8
Mar-19,10.6,14.8,6.8,20,2.5,75,0,6.5,0,18,0,161,0,44,0,61,1005.6
Apr-19,14.6,19.7,10.3,27.6,4.2,87,0,7,0,19.5,0,210.2,0,54,0,58,1004.6
May-19,21,26.4,16.3,32.4,8.7,88.5,0,14.5,0,37,0,268.6,0,62,0,54,1003.4
Jun-19,23.7,28.4,20.3,31.8,17.5,113.5,0,14,0,36,0,182.5,0,42,0,69,997.6
Jul-19,26.5,30.5,23.7,35.4,20.7,202,0,31,0,34,0,127.6,0,29,0,77,999
Aug-19,29.1,33.7,26.2,37.5,21.7,233.5,0,26,0,101.5,0,212.2,0,51,0,72,998.7
Sep-19,26.6,31.2,23.2,35.7,16.9,81,0,27.5,0,30,0,198.9,0,54,0,69,1004.9
Oct-19,20.7,24.8,17.5,33.1,12.8,214,0,13.5,0,79.5,0,135.8,0,39,0,71,1006.2
Nov-19,14.2,18.6,10.2,24.5,4.5,2,0,1,0,2,0,193.8,0,62,0,63,1010.4
Dec-19,9.5,13.2,6,17.1,3.7,57.5,0,7,0,15,0,139.3,0,46,0,67,1012.2
Jan-20,8.6,11.9,5.8,19.1,2.5,61,0,10.5,0,27,0,126.2,0,40,0,64,1009.1
Feb-20,8,11.9,4.7,18.3,-0.1,64,0,11,0,17,0,138.6,0,44,0,61,1012.1
Mar-20,11.4,15.6,7.7,22,2.1,101,0,4,0,18,0,191.6,0,52,0,61,1006.1
Apr-20,13.7,18.1,9.7,24.1,6.2,116.5,0,8.5,0,31.5,0,227.8,0,58,0,55,1005
May-20,20.8,25.7,16.8,29.7,12.5,97,0,15.5,0,36.5,0,221.3,0,51,0,63,1001.8
Jun-20,24.9,29.1,21.4,32.9,17.8,186,0,12,0,47,0,175,0,41,0,69,998.1
Jul-20,26,29.6,23.4,34.4,19.5,413,0,23,0,62,0,95.2,0,22,0,80,999.4
Aug-20,30.7,35.7,27.1,38.6,24.4,114.5,0,34,0,40.5,0,296.3,0,71,0,66,1001.8
Sep-20,25.8,30,22.8,35.9,17.9,98,0,15,0,64,0,134.6,0,36,0,69,1001.8
Oct-20,18.7,22.9,15.1,27.8,9.4,205,0,7.5,0,55.5,0,182.8,0,52,0,67,1007.7
Nov-20,14.7,19,10.9,26.6,7,47,0,9,0,24,0,173.2,0,56,0,66,1012.3
Dec-20,8.7,12.5,5.1,17,1.3,18.5,0,4.5,0,12,0,187,0,61,0,61,1010.6
Jan-21,6.2,9.8,3,19,-1.5,64.5,0,6,0,26.5,0,176.3,0,57,0,62,1010.6
Feb-21,8.7,13.2,4.8,20.5,-0.4,45,0,8.5,0,24,0,189.3,0,62,0,57,1008.8
Mar-21,12.2,17.3,7.9,22.3,3.9,145.5,0,14,0,48,0,194.5,0,53,0,62,1008.9
Apr-21,15.5,20.8,10.9,26.7,5.5,224,0,13,0,105,0,221.2,0,57,0,58,1008.5
May-21,,,,,,,0,,0,,0,,0,,0,,
