É_ÉEÉìÉçÅ[ÉhÇµÇΩéûçèÅF2021/05/19 13:53:41,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,çLìá,çLìá,çLìá,çLìá,çLìá,çLìá,çLìá,çLìá,çLìá,çLìá,çLìá,çLìá,çLìá,çLìá,çLìá,çLìá,çLìá
Jun-16,23.3,27,20.3,31.3,14.4,509.5,0,34,0,64,0,125.4,0,29,0,72,1002.7
Jul-16,27.7,31.4,24.9,34.2,21.6,199.5,0,20,0,72.5,0,192.5,0,44,0,69,1003.6
Aug-16,29.3,34.3,25.5,37.2,21.3,90,0,25,0,37,0,257.7,0,62,0,60,998.8
Sep-16,25.1,28.7,22.3,33.1,19.6,307.5,0,62.5,0,79.5,0,83.3,0,22,0,72,1006
Oct-16,20.2,24,17.1,30.9,11.6,156,0,23,0,40,0,110.5,0,32,0,66,1011.4
Nov-16,13.1,17.6,9.4,22.2,4.6,82.5,0,12,0,33.5,0,144.4,0,46,0,67,1014.3
Dec-16,8.9,13,5.6,19.9,0.4,92.5,0,6.5,0,22,0,125.8,0,41,0,69,1015.6
Jan-17,5.5,10,2.1,14.8,-1.7,52,0,4.5,0,13.5,0,161.1,0,52,0,65,1015.1
Feb-17,6.1,11.3,2.3,15,-1.2,66,0,6.5,0,17,0,158.6,0,52,0,62,1013.7
Mar-17,8.8,14,4.6,19.5,1.5,55.5,0,6,0,22.5,0,178.3,0,48,0,54,1011.5
Apr-17,15.6,20.4,11.1,27,3.6,192,0,14,0,93.5,0,194.4,0,50,0,58,1007.2
May-17,20.6,25.3,16,29.8,12.1,50.5,0,4.5,0,15,0,256.6,0,60,0,56,1006.6
Jun-17,22.5,26.9,18.3,30.5,13.8,261,0,53.5,0,108,0,203.3,0,47,0,61,1002.8
Jul-17,28.4,31.8,25.7,34.5,23.2,174.5,0,27,0,54.5,0,157.9,0,36,0,71,1003.2
Aug-17,29,33.3,25.7,37,22.1,98.5,0,14.5,0,37,0,217.3,0,52,0,64,1001
Sep-17,23.4,27.5,19.8,32.2,14.9,250,0,29.5,0,88,0,149.2,0,40,0,66,1005.6
Oct-17,18.4,22,15.5,28.1,7.4,387.5,0,28.5,0,84.5,0,122.8,0,35,0,70,1011.9
Nov-17,11.9,16.3,8.1,21.9,3.9,20.5,0,3,0,8.5,0,160.5,0,52,0,65,1014.5
Dec-17,5.8,9.9,2.4,15,-0.9,11.5,0,2.5,0,5.5,0,137.6,0,45,0,61,1015.9
Jan-18,4.3,8.5,1.2,13.6,-3.5,55,0,5,0,21.5,0,136.1,0,44,0,64,1013.9
Feb-18,4.7,9.5,1,15.9,-4.3,35,0,7.5,0,27,0,161.2,0,53,0,57,1014.5
Mar-18,10.9,16.1,5.9,22.3,1.3,201,0,16,0,69,0,217.5,0,59,0,58,1012.5
Apr-18,16.2,21.2,11.6,27,3.9,126,0,19.5,0,84,0,216.4,0,56,0,55,1009.6
May-18,19.8,24,15.7,28.8,9.7,209,0,20,0,43,0,197.2,0,46,0,60,1006.1
Jun-18,23.1,27,19.8,31.3,15.9,185,0,17.5,0,38.5,0,158.1,0,37,0,67,1002.6
Jul-18,29.1,33,25.8,36.7,21.5,492,0,49.5,0,229,0,257.6,0,59,0,65,1002.8
Aug-18,29.8,34.7,26.2,37.3,19.7,47,0,11,0,19,0,273.2,0,66,0,59,1002.3
Sep-18,23.7,27.2,20.9,32.6,15.5,365,0,29.5,0,75,0,108.3,0,29,0,70,1005.9
Oct-18,18.5,23.1,14.8,30.6,9.4,35,0,11.5,0,15.5,0,179.4,0,51,0,61,1010.6
Nov-18,13.3,18.3,9.2,23.4,2.8,38,0,18.5,0,34,0,170.6,0,55,0,61,1015.3
Dec-18,8.5,12.1,5.7,20.9,0.2,90.5,0,6,0,27.5,0,105.9,0,35,0,68,1016.7
Jan-19,6.4,11.2,2.6,15.4,0.3,26.5,0,3.5,0,15.5,0,164.2,0,53,0,60,1015.6
Feb-19,7.6,11.8,4,17.1,-0.8,68.5,0,6,0,29.5,0,129.5,0,43,0,58,1014.9
Mar-19,10.6,15.5,6.3,21.8,1.5,102,0,5.5,0,33.5,0,187.5,0,51,0,58,1009.7
Apr-19,14.8,19.7,10.4,27.8,3.4,110,0,6,0,38.5,0,210.1,0,54,0,55,1008.1
May-19,20.5,25.6,15.4,30.7,8.3,63.5,0,15.5,0,33.5,0,268.2,0,62,0,49,1006.5
Jun-19,23.2,27.6,19.5,32.1,15.1,152.5,0,22.5,0,80,0,199.5,0,46,0,63,1001
Jul-19,26.4,29.8,23.7,34.6,20.6,259.5,0,14,0,57.5,0,131.4,0,30,0,72,1001.8
Aug-19,28.5,32.1,25.6,37.5,20.6,317.5,0,42,0,85.5,0,172.2,0,41,0,68,1001.4
Sep-19,26.3,30.7,22.9,34.3,16.3,89,0,25.5,0,47.5,0,191.2,0,51,0,63,1007.8
Oct-19,20.3,25,16.5,31.4,11.5,105.5,0,11.5,0,68.5,0,175.2,0,50,0,63,1010
Nov-19,13.5,18.6,9.1,23.5,3.7,5,0,3,0,5,0,188.5,0,61,0,60,1014.4
Dec-19,8.6,12.9,5.3,16.8,2.2,82,0,7.5,0,17,0,116.3,0,38,0,65,1016.5
Jan-20,8.1,12.2,4.9,16,1.2,87,0,16,0,23.5,0,138.6,0,44,0,61,1013.6
Feb-20,7.8,12.7,3.9,18.8,0.1,60.5,0,5,0,24,0,156.8,0,50,0,58,1016.4
Mar-20,11,16.1,6.6,20.7,1.5,169.5,0,9.5,0,68.5,0,188.8,0,51,0,58,1010.1
Apr-20,13.2,18.3,8.4,24.3,4,154,0,19,0,37,0,231.8,0,59,0,50,1009.4
May-20,20.3,24.9,16.2,29.3,12.1,130.5,0,12,0,38.5,0,209.6,0,49,0,59,1005
Jun-20,24.2,28.1,20.8,32.3,18.1,355,0,21,0,112.5,0,177.1,0,41,0,67,1001.2
Jul-20,25.2,28.3,23,33,18.4,768.5,0,38,0,187.5,0,84.2,0,19,0,75,1002.2
Aug-20,29.9,34.5,26.4,37.1,24,2,0,1,0,1,0,261.9,0,63,0,62,1005
Sep-20,25,29.6,21.7,36.5,16.2,145.5,0,26.5,0,33.5,0,158.8,0,43,0,62,1004.7
Oct-20,18.7,23.7,14.9,28.4,8.3,90.5,0,8,0,64,0,211.3,0,60,0,58,1011.4
Nov-20,14.2,19.1,9.9,25.6,5.5,25,0,3.5,0,12,0,190.6,0,61,0,62,1016.2
Dec-20,7.2,12.1,3.6,16.9,-0.3,38.5,0,7,0,16,0,157.6,0,52,0,60,1015.9
Jan-21,5.2,9.7,1.7,16.2,-4.5,50.5,0,5.5,0,19,0,167.6,0,54,0,61,1015.4
Feb-21,8.2,13.6,3.7,21.2,-1.7,56,0,6,0,15,0,197.1,0,65,0,55,1013.1
Mar-21,12.1,17.3,7.5,22.4,2.9,142.5,0,11.5,0,42,0,199.5,0,54,0,57,1012.3
Apr-21,15.4,21,10.3,26.3,4.9,141.5,0,8,0,37.5,0,216.2,0,55,0,50,1011.8
May-21,,,,,,,0,,0,,0,,0,,0,,
