ダウンロードした時刻：2021/05/19 13:42:28,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,秩父,秩父,秩父,秩父,秩父,秩父,秩父,秩父,秩父,秩父,秩父,秩父,秩父,秩父,秩父,秩父,秩父
Feb-16,3.7,10.7,-2.1,20.7,-5.3,36.5,0,5,0,23.5,0,191.7,0,61,0,68,990.4
Mar-16,7.6,14,2.1,22,-5.2,62,0,4.5,0,22,0,174.9,0,47,0,70,990.7
Apr-16,13.7,20.1,7.8,28.8,0,40,0,3,0,12,0,176.7,0,45,0,69,985.9
May-16,18.7,25.6,12.5,33,7.6,34.5,0,3,0,10,0,206.9,0,48,0,69,986
Jun-16,21,26.3,16.5,34.2,7.1,90,0,7.5,0,55,0,134.9,0,31,0,78,982.5
Jul-16,24.4,29.5,20.5,36.7,17.8,60.5,0,16.5,0,18.5,0,141.4,0,32,0,81,983.4
Aug-16,25.5,30.8,21.8,37.3,17.1,590,0,75.5,0,215,0,134.8,0,32,0,82,979.1
Sep-16,22.7,26.8,19.7,33.5,15.8,220,0,13,0,77.5,0,75.7,0,20,0,88,986.9
Oct-16,16,21.7,11.4,30.9,4.1,25.5,0,4.5,0,14,0,137.6,0,39,0,82,990.6
Nov-16,8.6,14.7,3.9,21,-1.8,71.5,0,9,0,34,0,149.5,0,49,0,80,991.6
Dec-16,4.7,12.5,-1.2,17.2,-5.3,44.5,0,11,0,23.5,0,212,0,70,0,72,990.3
Jan-17,2.2,9.6,-3.6,18,-7.2,27,0,3,0,20,0,217.2,0,70,0,61,987.3
Feb-17,3.7,11,-2.6,20.4,-6.6,5.5,0,2.5,0,3,0,210.8,0,70,0,52,986.2
Mar-17,5.6,12.3,-0.3,18.2,-4.7,68.5,0,4.5,0,21,0,202.6,0,55,0,65,986.5
Apr-17,12.5,19.9,6,27.7,0.8,63.5,0,6,0,39.5,0,202.9,0,52,0,67,985
May-17,18.4,25,12.5,33.4,4.7,44.5,0,10.5,0,13.5,0,198.5,0,46,0,74,985
Jun-17,20.8,26.9,15.6,32.6,8.6,49,0,8,0,22,0,164,0,38,0,72,981.4
Jul-17,25.9,31.4,21.9,35.9,19.2,260,0,34,0,85,0,152.6,0,34,0,83,982.5
Aug-17,24.9,29.2,21.8,36.2,17.7,200,0,33,0,65,0,82,0,20,0,87,981.2
Sep-17,20.9,26.3,16.7,33.4,12.6,135,0,13,0,49.5,0,143.2,0,39,0,82,984.9
Oct-17,15,19.4,11.4,29.3,4.1,507,0,30.5,0,130,0,102.2,0,29,0,87,991.4
Nov-17,7.9,15.4,2.3,23.1,-3,8,0,3,0,8,0,190.5,0,62,0,78,990
Dec-17,2.9,10.6,-2.8,15.9,-6.5,5.5,0,3,0,4,0,226.4,0,75,0,67,988.1
Jan-18,1.6,8.7,-4.2,16.3,-9.5,16.5,0,2.5,0,13,0,217,0,70,0,61,986
Feb-18,2.2,9.5,-3.6,15.7,-7.9,12.5,0,1.5,0,7,0,194.3,0,64,0,64,988.2
Mar-18,8.9,16.1,2.1,24.9,-2.9,158.5,0,10,0,44.5,0,215.7,0,58,0,66,989
Apr-18,14.8,22.3,8.3,30.6,0.4,38,0,8,0,18,0,229,0,59,0,67,986.5
May-18,18.3,24.9,12.1,32.1,4.6,114.5,0,10,0,28.5,0,200.3,0,46,0,72,984.1
Jun-18,21.5,27.1,16.6,36.2,12.6,105.5,0,14,0,36,0,186.6,0,43,0,79,982.3
Jul-18,27.3,33.1,22.6,39.2,18,263.5,0,34.5,0,158.5,0,214.4,0,48,0,78,983.8
Aug-18,26.5,32.6,21.8,37.4,13.1,205,0,19,0,87.5,0,206,0,49,0,80,982.5
Sep-18,20.9,25.2,17.9,33.3,11,338,0,41.5,0,98,0,65.3,0,18,0,89,986.7
Oct-18,16.3,21.7,12.3,32.1,4.9,28,0,21.5,0,11.5,0,121.2,0,35,0,85,988.8
Nov-18,10.7,17,5.7,22,0.2,18,0,7.5,0,10,0,158.1,0,51,0,82,992.3
Dec-18,4.8,11.7,-0.5,21.1,-5.4,21,0,3,0,9.5,0,172.3,0,57,0,72,990.9
Jan-19,2.2,9.8,-4,15.5,-7.5,14,0,4.5,0,14,0,232.8,0,75,0,57,988.4
Feb-19,3.8,11.2,-2.4,19.1,-6,14,0,5,0,14,0,187.5,0,62,0,63,989.9
Mar-19,7.6,14.6,1.4,22.1,-3.4,97,0,7,0,38,0,198.1,0,54,0,65,985.2
Apr-19,11.8,18.6,5.1,27.3,-2.2,35.5,0,3.5,0,18.5,0,211.5,0,54,0,62,985.3
May-19,18.4,25.9,11.3,35,1.4,67,0,12.5,0,50.5,0,240,0,55,0,65,985.6
Jun-19,20.5,25.7,16.3,32.9,12.7,187.5,0,11.5,0,57.5,0,126.3,0,29,0,80,980.7
Jul-19,23,27.1,20.3,35.3,16.7,230.5,0,24,0,63,0,65.6,0,15,0,89,983
Aug-19,26.8,32.3,22.9,37.6,20.5,114.5,0,35,0,66,0,168,0,40,0,82,982.3
Sep-19,23,28,19.2,35.7,14.3,186.5,0,35,0,71.5,0,122.5,0,33,0,84,988.7
Oct-19,17.5,22,14,30.1,8.9,818.5,0,46,0,511,0,97,0,28,0,86,989.2
Nov-19,9.8,16.7,4.5,23.3,-1.9,77,0,5,0,30.5,0,191.6,0,62,0,81,990.9
Dec-19,5,11.8,0.1,20.1,-4.1,23.5,0,4,0,14.5,0,153.4,0,51,0,79,991.8
Jan-20,4,10.5,-1.1,18.2,-4.2,103,0,8,0,53.5,0,182.2,0,59,0,76,988.8
Feb-20,5.1,12.2,-1.2,20.9,-7.3,2.5,0,1,0,1.5,0,208.7,0,66,0,65,990.5
Mar-20,8.3,15,2.4,26.7,-2.8,80.5,0,5,0,40.5,0,200,0,54,0,69,986
Apr-20,10.7,17.1,4.1,24.8,-0.8,159.5,0,9.5,0,91.5,0,208.8,0,53,0,71,985
May-20,17.9,24,12.5,32.1,4.6,79.5,0,9.5,0,43,0,163.3,0,38,0,76,984
Jun-20,22.2,27.3,18.1,33.5,15.2,209.5,0,21.5,0,50,0,130.7,0,30,0,83,980.7
Jul-20,23,26.4,20.4,32,17,311,0,32.5,0,47,0,43.3,0,10,0,92,982.3
Aug-20,27.9,34.4,23,38.5,21.3,59.5,0,22.5,0,24.5,0,243,0,58,0,77,984.7
Sep-20,22.5,26.9,19.5,34.4,11.1,305,0,36,0,74,0,86.4,0,23,0,88,985.8
Oct-20,15,19.9,11.3,26.2,2.3,228,0,6.5,0,69,0,97.7,0,28,0,86,990.4
Nov-20,10,17.2,4.1,22.2,-0.7,4,0,1.5,0,3.5,0,196.4,0,64,0,79,992.8
Dec-20,4,11.8,-1.9,16.6,-6.2,0,0,0,0,0,0,202,0,67,0,70,988.8
Jan-21,1.8,9.2,-4.1,16.6,-8.5,32,0,2.5,0,16.5,0,193,0,62,0,67,988.8
Feb-21,4.7,13.2,-2.4,21.8,-5.8,39,0,10,0,38.5,0,239.1,0,79,0,58,986.7
Mar-21,9.5,16,3.5,24.1,-2.7,77.5,0,8,0,39.5,0,181.1,0,49,0,69,989.6
Apr-21,12.8,19.7,6.2,26.9,1.4,34.5,0,7.5,0,22,0,211.5,0,54,0,62,989.7
May-21,,,,,,,0,,0,,0,,0,,0,,
