ダウンロードした時刻：2021/05/19 13:44:59,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,金沢,金沢,金沢,金沢,金沢,金沢,金沢,金沢,金沢,金沢,金沢,金沢,金沢,金沢,金沢,金沢,金沢
Feb-16,4.9,8.8,1.5,19.2,-1.8,281.5,0,7.5,0,34,0,101,0,32,0,71,1017.1
Mar-16,8.3,12.9,4.1,22.4,-1.3,56.5,0,3,0,13.5,0,160.4,0,43,0,63,1016.5
Apr-16,14.1,19.1,9.7,28.1,2.9,201,0,11,0,52.5,0,197,0,50,0,64,1010
May-16,19.4,24.5,14.6,31.3,10.9,81.5,0,11,0,24,0,225.9,0,52,0,64,1008.7
Jun-16,22.4,26.5,18.7,30.3,11.9,200,0,23,0,44,0,176.9,0,40,0,71,1005.2
Jul-16,26.2,30.3,23.2,37,20.3,160,0,20,0,39,0,190.7,0,43,0,74,1005.7
Aug-16,27.5,31.8,24.5,34.1,20.3,207.5,0,59,0,65.5,0,244.1,0,58,0,71,1001.3
Sep-16,23.8,27.2,21.1,32.7,15.2,391,0,29.5,0,93,0,109.9,0,30,0,78,1009.3
Oct-16,18,22.5,14.1,32.2,7.8,151.5,0,15,0,43,0,142.7,0,41,0,68,1014.4
Nov-16,11.4,15.3,7.7,20.9,3,163.5,0,9,0,28.5,0,115.4,0,38,0,69,1016.5
Dec-16,7.9,11.6,4.3,23.6,0.3,256,0,12,0,54,0,80.6,0,27,0,70,1016.5
Jan-17,4.5,7.8,1.4,13.7,-2.3,240.5,0,9,0,39,0,70.3,0,23,0,69,1014.7
Feb-17,4.4,8.2,1.1,15.4,-1,154,0,6.5,0,24.5,0,81.2,0,27,0,68,1014
Mar-17,7.2,11.4,3.4,17.1,-0.2,98.5,0,6,0,33,0,172.9,0,47,0,63,1012.9
Apr-17,13.6,18.5,8.6,27.5,2.3,136,0,9,0,46.5,0,197.2,0,50,0,60,1009.3
May-17,18.9,23.4,14.9,29.2,8.2,52,0,10,0,10.5,0,236.9,0,54,0,62,1008.8
Jun-17,20.3,24.5,16.4,30.4,10.9,85,0,11,0,23.5,0,217.2,0,50,0,69,1005.5
Jul-17,27.2,30.8,24.3,35.5,20.3,526.5,0,61.5,0,110.5,0,196.5,0,44,0,74,1005.3
Aug-17,27.3,31.2,24.3,36.1,20.3,297,0,55,0,149.5,0,192,0,46,0,73,1003.5
Sep-17,22.4,26.8,18.7,31.1,12.6,217.5,0,20,0,41,0,188,0,51,0,70,1008.1
Oct-17,17.1,20.6,14,27.6,9,286,0,20,0,82,0,105.3,0,30,0,74,1015
Nov-17,10.9,15.4,6.5,22.6,2.1,246,0,14,0,49.5,0,124.8,0,41,0,68,1015.4
Dec-17,5.6,9.1,2.7,14.7,0,364,0,15,0,40.5,0,67.2,0,22,0,71,1015.1
Jan-18,2.8,6.1,-0.1,13.3,-4.3,347,0,11.5,0,47,0,51.6,0,17,0,75,1013.6
Feb-18,3,6.3,0,12,-2.2,203,0,9,0,52,0,105.3,0,35,0,71,1015.3
Mar-18,8.7,13.7,3.9,22.7,-0.5,207.5,0,7.5,0,40.5,0,194.2,0,53,0,63,1014.8
Apr-18,14.1,19.3,9.5,28.1,2.6,184.5,0,7,0,35,0,194,0,50,0,66,1011.5
May-18,18.4,22.7,14.2,31.8,6.9,225,0,11,0,44.5,0,182,0,42,0,65,1008.1
Jun-18,22.4,26.5,18.7,33.2,13.3,97.5,0,21,0,30,0,189.5,0,43,0,68,1005.2
Jul-18,28.3,32.2,25.1,36.5,21.2,207,0,28.5,0,91.5,0,289.4,0,65,0,68,1005.9
Aug-18,28.2,32.9,24.7,36.9,17.8,253,0,58.5,0,117.5,0,217.8,0,52,0,67,1005
Sep-18,22.6,26.5,19.7,34.3,15.8,529,0,44,0,80,0,111.8,0,30,0,76,1008.8
Oct-18,17.8,22.1,14.1,32.2,9.6,153.5,0,20,0,24.5,0,153.1,0,44,0,67,1012.8
Nov-18,12.9,17.1,9.4,26.4,4.3,112,0,9.5,0,20.5,0,130.8,0,43,0,69,1017.2
Dec-18,7.3,10.8,3.9,24.7,-0.3,246.5,0,11,0,23.5,0,61.2,0,20,0,73,1017.6
Jan-19,4.4,7.7,1.3,13.1,-0.8,192,0,6,0,18.5,0,77.4,0,25,0,71,1016.2
Feb-19,5.4,9.5,1.9,18.5,-1.5,93,0,6.5,0,16,0,94.3,0,31,0,69,1016.9
Mar-19,8.5,13.1,4.2,23.6,0.4,131.5,0,7.5,0,24.5,0,142.6,0,39,0,62,1011.2
Apr-19,12,16.2,7.8,23.9,1.3,146.5,0,7.5,0,28,0,179.3,0,46,0,61,1010.6
May-19,19.2,24.6,14.2,31.3,7.7,84,0,13.5,0,39,0,310.4,0,71,0,54,1009
Jun-19,21.8,25.5,18.7,31.8,15.7,246,0,31.5,0,52.5,0,184.3,0,42,0,71,1003.4
Jul-19,25.9,29.4,23.2,35.8,20.8,126.5,0,18,0,30.5,0,150.5,0,34,0,74,1004.5
Aug-19,28.2,32.1,25.5,37.7,20.9,339,0,43,0,96,0,228.2,0,55,0,71,1004.3
Sep-19,24.6,28.8,21.4,34.1,16.1,55.5,0,10.5,0,16,0,181.1,0,49,0,70,1011.3
Oct-19,18.7,22.2,15.6,30.5,10.2,286.5,0,16.5,0,99,0,115.3,0,33,0,73,1012.7
Nov-19,12.1,16.7,8,23.6,1.8,138,0,17.5,0,30,0,140.2,0,46,0,65,1016.4
Dec-19,8.3,12.5,4.2,20.1,0.1,171,0,8,0,39,0,92,0,31,0,66,1017.4
Jan-20,6.7,9.8,3.9,17.2,-0.6,234,0,11,0,25,0,64.3,0,21,0,72,1014.8
Feb-20,6.3,10.5,2.8,18.1,-3.7,146,0,6,0,31,0,93.8,0,30,0,68,1017.5
Mar-20,9,13.4,4.9,23,0.1,143,0,7.5,0,31,0,160,0,43,0,63,1011.9
Apr-20,11.2,15.6,7.4,21.8,4.4,174.5,0,11.5,0,41,0,189.5,0,48,0,61,1010.8
May-20,18.5,23.1,14.6,29.4,10.1,42.5,0,3,0,9.5,0,200.3,0,46,0,66,1007.5
Jun-20,23.2,27.6,19.9,31.3,16.4,296,0,31,0,90,0,198,0,45,0,70,1003.6
Jul-20,24.3,27.7,22.1,33.1,19.6,445,0,43,0,99.5,0,69.5,0,16,0,81,1004.5
Aug-20,28.9,32.9,25.7,37.3,23.2,119.5,0,29,0,46,0,252,0,60,0,69,1007.2
Sep-20,24.8,29.2,21.6,36.3,15.9,251.5,0,18,0,55,0,161,0,43,0,72,1007.5
Oct-20,17.5,21.7,13.8,26.9,6.9,116.5,0,15.5,0,57.5,0,153.6,0,44,0,67,1013.9
Nov-20,13,17.7,8.7,27.1,5.1,236,0,10,0,39.5,0,136.4,0,45,0,67,1017.8
Dec-20,7,10.6,3.9,14.5,-1,331,0,21,0,47.5,0,57.4,0,19,0,73,1015.4
Jan-21,3.9,7.1,1.1,16.2,-2,348.5,0,8.5,0,44.5,0,68.1,0,22,0,76,1015.3
Feb-21,6.6,10.6,2.4,19.6,-1.3,147,0,6.5,0,39,0,113,0,37,0,63,1014
Mar-21,9.7,15,5.2,22.2,0,114,0,8,0,33.5,0,170.4,0,46,0,64,1015
Apr-21,12.9,17.9,8.1,23.2,2.3,208.5,0,12,0,78,0,234.6,0,60,0,61,1014.6
May-21,,,,,,,0,,0,,0,,0,,0,,
