ダウンロードした時刻：2021/05/19 13:50:29,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,奈良,奈良,奈良,奈良,奈良,奈良,奈良,奈良,奈良,奈良,奈良,奈良,奈良,奈良,奈良,奈良,奈良
Dec-16,,,,19.6,-1.8,111,0,15,0,33,0,,,,,,1008.1
Jan-17,,,,14.1,-3.8,42.5,0,6,0,21,0,,,,,,1006.5
Feb-17,,,,17.6,-2.8,59,0,13.5,0,21,0,,,,,,1005.4
Mar-17,7.6,13.4,2.8,20,-2.1,59,0,6,0,28.5,0,152.8,0,41,0,64,1004.4
Apr-17,14.4,20,9,26.8,2,85,0,6,0,30,0,178.9,0,46,0,63,1001.5
May-17,20.2,26.2,14.9,31.6,8.4,80,0,12,0,39,0,232.8,0,54,0,60,1000.9
Jun-17,21.8,27.5,16.8,32.6,11.9,112,0,11.5,0,29,0,201.1,0,47,0,66,997.2
Jul-17,28.1,33,24.5,35.5,21.7,57,0,11,0,17.5,0,164.1,0,37,0,73,997.8
Aug-17,28,33.2,24.2,36.9,20.6,126,0,15.5,0,62,0,192.2,0,46,0,72,995.4
Sep-17,22.9,27.8,18.8,31.2,13.7,145,0,29,0,48.5,0,143.2,0,39,0,73,999.8
Oct-17,17.3,21.1,14.1,29.2,6.3,443,0,24.5,0,196.5,0,85.5,0,24,0,83,1005.7
Nov-17,10.8,15.9,6.4,22,1,52,0,4.5,0,15,0,163.6,0,53,0,75,1007.9
Dec-17,5.3,10,1.4,15.6,-1.3,30.5,0,10,0,25.5,0,148.9,0,49,0,68,1008.2
Jan-18,3.5,7.9,-0.1,16.2,-3.9,60,0,3.5,0,21.5,0,139.2,0,45,0,71,1006.3
Feb-18,4,8.8,-0.2,17.1,-3.7,24,0,6.5,0,18,0,154.8,0,51,0,63,1007.4
Mar-18,10.3,16.8,4.5,24,-0.5,130.5,0,16,0,30.5,0,215.9,0,58,0,65,1006.2
Apr-18,15.8,22.1,10.1,28.5,3,162.5,0,27,0,65,0,203.3,0,52,0,64,1003.6
May-18,19.3,24.8,14.5,30.9,6.9,216.5,0,23,0,75.5,0,191.7,0,44,0,65,1000.3
Jun-18,22.8,27.8,18.6,34.3,13.4,212.5,0,13,0,75.5,0,169.4,0,39,0,74,997.2
Jul-18,28.8,34.2,24.7,38.1,21.5,326,0,35,0,133,0,239.2,0,54,0,71,997.9
Aug-18,28.7,34.4,24.5,37.1,17.4,36,0,10.5,0,15,0,246.7,0,59,0,67,997.2
Sep-18,23.1,27.1,19.9,32.1,14.8,322,0,28.5,0,61.5,0,80.2,0,22,0,81,1000.3
Oct-18,18,23.1,13.6,31.2,8.8,34,0,9,0,9,0,169.5,0,48,0,72,1004.5
Nov-18,12.6,18.2,8.1,23.9,2.5,36,0,5.5,0,16,0,146.3,0,47,0,76,1008.7
Dec-18,7.8,12.3,4.1,24.9,-1.4,86.5,0,18,0,20.5,0,109,0,36,0,75,1009.5
Jan-19,4.7,9.2,0.7,12,-2.1,27,0,4.5,0,21.5,0,118.6,0,38,0,71,1008.2
Feb-19,6.3,10.9,2.2,16.5,-1.7,51,0,5.5,0,20.5,0,119.6,0,39,0,71,1008.2
Mar-19,9.2,14.7,4.3,22.1,-0.3,83,0,5.5,0,17.5,0,144.6,0,39,0,67,1003
Apr-19,13.5,19.4,8.2,26.9,1.3,76,0,5,0,16.5,0,186.8,0,48,0,63,1002
May-19,19.8,26.5,13.9,33.6,5.6,88,0,17,0,51,0,261.8,0,61,0,56,1001
Jun-19,22.8,28.1,18.6,32.5,15.7,144,0,21,0,39,0,149.7,0,35,0,72,995.3
Jul-19,25.7,30.3,22.4,35.8,19.8,301,0,54.5,0,61.5,0,104.4,0,24,0,80,996.7
Aug-19,28.3,33.5,24.6,37.4,19.8,298,0,42.5,0,60.5,0,195.9,0,47,0,74,996.5
Sep-19,25.6,30.9,21.7,35.7,14,35.5,0,12.5,0,14,0,194.5,0,52,0,72,1002.6
Oct-19,19.3,23.9,15.7,32,10.3,279,0,18,0,112.5,0,112.2,0,32,0,78,1003.8
Nov-19,12.2,17.6,7.5,24.6,2.6,30,0,8,0,13.5,0,179.8,0,58,0,74,1007.9
Dec-19,7.7,12.5,3.5,17.2,0.5,70,0,6.5,0,19,0,118.9,0,39,0,77,1009.6
Jan-20,7,10.9,3.5,16.9,-0.2,70.5,0,11,0,23.5,0,95.8,0,31,0,74,1006.6
Feb-20,6.3,11.3,2.3,17.4,-2.5,74.5,0,13.5,0,23.5,0,117.2,0,37,0,71,1009.5
Mar-20,10,15.5,5.3,23.1,-0.6,120,0,7.5,0,22.5,0,170.7,0,46,0,68,1003.5
Apr-20,12.5,18.2,7.3,25.9,3.4,118.5,0,11,0,35.5,0,201.5,0,52,0,59,1002.4
May-20,19.9,26.1,14.9,30.3,9.8,123,0,18.5,0,33,0,190.7,0,44,0,65,999.4
Jun-20,24.2,29.1,19.9,33.8,14.8,218,0,14.5,0,57,0,156.6,0,36,0,71,995.8
Jul-20,25.3,29.6,22.4,35.3,19.2,403.5,0,25,0,58.5,0,72.3,0,16,0,82,997.2
Aug-20,29.7,35.8,25.3,38,22.4,57,0,37,0,38.5,0,262.3,0,63,0,68,999.5
Sep-20,24.5,29.7,20.9,35.9,15.4,122.5,0,12,0,53,0,133,0,36,0,76,999.5
Oct-20,17,22.2,12.9,28,6.3,272.5,0,14.5,0,78,0,165.1,0,47,0,75,1005.3
Nov-20,12.9,18.7,8.1,26.5,4.3,33,0,7.5,0,18.5,0,164.1,0,53,0,75,1009.8
Dec-20,6.7,11.9,2.7,16.2,-1,15.5,0,3,0,9,0,152.4,0,50,0,70,1008
Jan-21,4.7,9.2,1,17.4,-3.1,70.5,0,3.5,0,27.5,0,153,0,49,0,69,1007.9
Feb-21,7.4,12.9,2.5,20.7,-1.8,52.5,0,7,0,30,0,168.1,0,55,0,63,1006.2
Mar-21,11,17.6,5.5,23.1,0.4,120.5,0,13,0,30.5,0,183.3,0,50,0,69,1006.3
Apr-21,14.4,20.8,8.6,27.1,2.3,159.5,0,11.5,0,61,0,211.1,0,54,0,63,1005.9
May-21,,,,,,,0,,0,,0,,0,,0,,
